ICAO,IATA,Name,Type,Municipality,Country
KNBG,NBG,New Orleans NAS JRB/Alvin Callender Field,Medium airport,New Orleans,United States
KRNH,,New Richmond Regional Airport,Medium airport,New Richmond,United States
KNCA,,New River MCAS /H/ /Mccutcheon Fld/ Airport,Medium airport,Jacksonville,United States
KONP,ONP,Newport Municipal Airport,Medium airport,Newport,United States
CYSN,YCM,Niagara District Airport,Medium airport,St Catharines,Canada
KIAG,IAG,Niagara Falls International Airport,Medium airport,Niagara Falls,United States
CYBU,,Nipawin Airport,Medium airport,Nipawin,Canada
PAWN,WTK,Noatak Airport,Medium airport,Noatak,United States
KOLS,OLS,Nogales International Airport,Medium airport,Nogales,United States
PAOM,OME,Nome Airport,Medium airport,Nome,United States
KNGU,NGU,Norfolk Naval Station (Chambers Field),Medium airport,Norfolk,United States
CYVQ,YVQ,Norman Wells Airport,Medium airport,Norman Wells,Canada
MYEN,NMC,Normans Cay Airport,Medium airport,Norman's Cay,Bahamas
CYQW,YQW,North Battleford Airport,Medium airport,North Battleford,Canada
CYYB,YYB,North Bay Jack Garland Airport,Medium airport,North Bay,Canada
MBNC,NCA,North Caicos Airport,Medium airport,North Caicos,Turks and Caicos Islands
KCKB,CKB,North Central West Virginia Airport,Medium airport,Clarksburg,United States
MYEH,ELH,North Eleuthera Airport,Medium airport,North Eleuthera,Bahamas
KNZY,NZY,North Island Naval Air Station-Halsey Field,Medium airport,San Diego,United States
KVGT,VGT,North Las Vegas Airport,Medium airport,Las Vegas,United States
KLBF,LBF,North Platte Regional Airport Lee Bird Field,Medium airport,North Platte,United States
KSGJ,UST,Northeast Florida Regional Airport,Medium airport,St Augustine,United States
KCCY,CCY,Northeast Iowa Regional Airport,Medium airport,Charles City,United States
KPNE,PNE,Northeast Philadelphia Airport,Medium airport,Philadelphia,United States
KPQI,PQI,Northern Maine Regional Airport at Presque Isle,Medium airport,Presque Isle,United States
PAOR,ORT,Northway Airport,Medium airport,Northway,United States
KMSL,MSL,Northwest Alabama Regional Airport,Medium airport,Muscle Shoals,United States
KXNA,XNA,Northwest Arkansas Regional Airport,Medium airport,Fayetteville/Springdale/Rogers,United States
KECP,ECP,Northwest Florida Beaches International Airport,Medium airport,Panama City Beach,United States
CYXT,YXT,Northwest Regional Airport Terrace-Kitimat,Medium airport,Terrace,Canada
CYNE,YNE,Norway House Airport,Medium airport,Norway House,Canada
KOWD,OWD,Norwood Memorial Airport,Medium airport,Norwood,United States
MRNS,NOB,Nosara Airport,Medium airport,Nicoya,Costa Rica
PAQT,NUI,Nuiqsut Airport,Medium airport,Nuiqsut,United States
KPTK,PTK,Oakland County International Airport,Medium airport,Pontiac,United States
KNTU,NTU,Oceana Naval Air Station,Medium airport,Virginia Beach,United States
KOFF,OFF,Offutt Air Force Base,Medium airport,Omaha,United States
KOGD,OGD,Ogden Hinckley Airport,Medium airport,Ogden,United States
CYOC,YOC,Old Crow Airport,Medium airport,Old Crow,Canada
KOLM,OLM,Olympia Regional Airport,Medium airport,Olympia,United States
KOPF,OPF,Opa-locka Executive Airport,Medium airport,Miami,United States
KOGB,OGB,Orangeburg Municipal Airport,Medium airport,Orangeburg,United States
MUMO,MOA,Orestes Acosta Airport,Medium airport,Moa,Cuba
CYRP,,Ottawa / Carp Airport,Medium airport,Ottawa,Canada
CYND,YND,Ottawa / Gatineau Airport,Medium airport,Gatineau,Canada
CYRO,YRO,Ottawa / Rockcliffe Airport,Medium airport,Ottawa,Canada
KOTM,OTM,Ottumwa Regional Airport,Medium airport,Ottumwa,United States
CYOS,YOS,Owen Sound / Billy Bishop Regional Airport,Medium airport,Owen Sound,Canada
KOWB,OWB,Owensboro Daviess County Airport,Medium airport,Owensboro,United States
CYOH,YOH,Oxford House Airport,Medium airport,Oxford House,Canada
KOXR,OXR,Oxnard Airport,Medium airport,Oxnard,United States
KBPK,WMH,Ozark Regional Airport,Medium airport,Mountain Home,United States
KFMY,FMY,Page Field,Medium airport,Fort Myers,United States
KPGA,PGA,Page Municipal Airport,Medium airport,Page,United States
KPSP,PSP,Palm Springs International Airport,Medium airport,Palm Springs,United States
MRPM,PMZ,Palmar Sur Airport,Medium airport,Palmar Sur,Costa Rica
KPMD,PMD,Palmdale Regional/USAF Plant 42 Airport,Medium airport,Palmdale,United States
KEAT,EAT,Pangborn Memorial Airport,Medium airport,Wenatchee,United States
CYXP,YXP,Pangnirtung Airport,Medium airport,Pangnirtung,Canada
KPRB,PRB,Paso Robles Municipal Airport,Medium airport,Paso Robles,United States
KCOF,COF,Patrick Air Force Base,Medium airport,Cocoa Beach,United States
KNHK,NHK,Patuxent River Naval Air Station (Trapnell Field),Medium airport,Patuxent River,United States
CYPC,YPC,Paulatuk (Nora Aliqatchialuk Ruben) Airport,Medium airport,Paulatuk,Canada
CYPE,YPE,Peace River Airport,Medium airport,Peace River,Canada
CYPO,YPO,Peawanuck Airport,Medium airport,Peawanuck,Canada
KPLN,PLN,Pellston Regional Airport of Emmet County Airport,Medium airport,Pellston,United States
CYTA,YTA,Pembroke Airport,Medium airport,Pembroke,Canada
KNPA,NPA,Pensacola Naval Air Station/Forrest Sherman Field,Medium airport,Pensacola,United States
KPNS,PNS,Pensacola Regional Airport,Medium airport,Pensacola,United States
CYYF,YYF,Penticton Airport,Medium airport,Penticton,Canada
CYWA,YWA,Petawawa Airport,Medium airport,Petawawa,Canada
CYPQ,YPQ,Peterborough Airport,Medium airport,Peterborough,Canada
PAPG,PSG,Petersburg James A Johnson Airport,Medium airport,Petersburg,United States
KTOP,TOP,Philip Billard Municipal Airport,Medium airport,Topeka,United States
KAPG,APG,Phillips Army Air Field,Medium airport,Aberdeen Proving Grounds(Aberdeen),United States
KIWA,AZA,Phoenix-Mesa-Gateway Airport,Medium airport,Phoenix,United States
TTPP,POS,Piarco International Airport,Medium airport,Port of Spain,Trinidad and Tobago
CYPL,YPL,Pickle Lake Airport,Medium airport,Pickle Lake,Canada
MMPG,PDS,Piedras Negras International Airport,Medium airport,Coahuila,Mexico
KPIR,PIR,Pierre Regional Airport,Medium airport,Pierre,United States
CYPM,YPM,Pikangikum Airport,Medium airport,Pikangikum,Canada
CZMN,PIW,Pikwitonei Airport,Medium airport,Pikwitonei,Canada
MUPR,QPD,Pinar Del Rio Airport,Medium airport,Pinar del Rio,Cuba
CZPC,WPC,Pincher Creek Airport,Medium airport,Pincher Creek,Canada
KPBF,PBF,Pine Bluff Regional Airport,Medium airport,Pine Bluff,United States
KPGV,PGV,Pitt Greenville Airport,Medium airport,Greenville,United States
MMIO,SLW,Plan De Guadalupe International Airport,Medium airport,Saltillo,Mexico
PAPM,PTU,Platinum Airport,Medium airport,Platinum,United States
KPBG,PBG,Plattsburgh International Airport,Medium airport,Plattsburgh,United States
MUPB,UPB,Playa Baracoa Airport,Medium airport,Havana,Cuba
MMZO,ZLO,Playa De Oro International Airport,Medium airport,Manzanillo,Mexico
KPIH,PIH,Pocatello Regional Airport,Medium airport,Pocatello,United States
PPIZ,PIZ,Point Lay LRRS Airport,Medium airport,Point Lay,United States
KNTD,NTD,Point Mugu Naval Air Station (Naval Base Ventura Co),Medium airport,Point Mugu,United States
TGPY,GND,Point Salines International Airport,Medium airport,Saint George's,Grenada
CYNL,YNL,Points North Landing Airport,Medium airport,Points North Landing,Canada
KPOE,POE,Polk Army Air Field,Medium airport,Fort Polk,United States
KPNC,PNC,Ponca City Regional Airport,Medium airport,Ponca City,United States
MMSP,SLP,Ponciano Arriaga International Airport,Medium airport,San Luis Potosí,Mexico
CYIO,YIO,Pond Inlet Airport,Medium airport,Pond Inlet,Canada
KPOB,POB,Pope Field,Medium airport,Fayetteville,United States
CZNG,XPP,Poplar River Airport,Medium airport,Poplar River,Canada
PAPC,KPC,Port Clarence Coast Guard Station,Medium airport,Port Clarence,United States
CYZT,YZT,Port Hardy Airport,Medium airport,Port Hardy,Canada
CYPD,YPS,Port Hawkesbury Airport,Medium airport,Port Hawkesbury,Canada
PAPH,PTH,Port Heiden Airport,Medium airport,Port Heiden,United States
CYPN,YPN,Port Menier Airport,Medium airport,Port-Menier,Canada
MTPX,PAX,Port-de-Paix Airport,Medium airport,Port-de-Paix,Haiti
KVPZ,VPZ,Porter County Municipal Airport,Medium airport,Valparaiso,United States
KHIO,HIO,Portland Hillsboro Airport,Medium airport,Portland,United States
KTTD,TTD,Portland Troutdale Airport,Medium airport,Portland,United States
KPSM,PSM,Portsmouth International at Pease Airport,Medium airport,Portsmouth,United States
CYPW,YPW,Powell River Airport,Medium airport,Powell River,Canada
CYPA,YPA,Prince Albert Glass Field,Medium airport,Prince Albert,Canada
CYXS,YXS,Prince George Airport,Medium airport,Prince George,Canada
CYPR,YPR,Prince Rupert Airport,Medium airport,Prince Rupert,Canada
CYDC,,Princeton Airport,Medium airport,Town of Princeton,Canada
MBPV,PLS,Providenciales Airport,Medium airport,Providenciales Island,Turks and Caicos Islands
KPVU,PVU,Provo Municipal Airport,Medium airport,Provo,United States
MGPB,PBR,Puerto Barrios Airport,Medium airport,Puerto Barrios,Guatemala
MNPC,PUZ,Puerto Cabezas Airport,Medium airport,Puerto Cabezas,Nicaragua
MMPS,PXM,Puerto Escondido International Airport,Medium airport,Puerto Escondido,Mexico
MRPJ,PJM,Puerto Jimenez Airport,Medium airport,Puerto Jimenez,Costa Rica
CZFG,XPK,Pukatawagan Airport,Medium airport,Pukatawagan,Canada
KPUW,PUW,Pullman Moscow Regional Airport,Medium airport,Pullman/Moscow,United States
KLAF,LAF,Purdue University Airport,Medium airport,Lafayette,United States
CYPX,YPX,Puvirnituq Airport,Medium airport,Puvirnituq,Canada
CYVM,YVM,Qikiqtarjuaq Airport,Medium airport,Qikiqtarjuaq,Canada
KNYG,,Quantico MCAF /Turner field,Medium airport,Quantico,United States
CYHA,YQC,Quaqtaq Airport,Medium airport,Quaqtaq,Canada
CYQB,YQB,Quebec Jean Lesage International Airport,Medium airport,Quebec,Canada
TNCA,AUA,Queen Beatrix International Airport,Medium airport,Oranjestad,Aruba
MRQP,XQP,Quepos Managua Airport,Medium airport,Quepos,Costa Rica
MMQT,QRO,Querétaro Intercontinental Airport,Medium airport,Querétaro,Mexico
CYQZ,YQZ,Quesnel Airport,Medium airport,Quesnel,Canada
MMNL,NLD,Quetzalcóatl International Airport,Medium airport,Nuevo Laredo,Mexico
KUIN,UIN,Quincy Regional Baldwin Field,Medium airport,Quincy,United States
KOQU,NCO,Quonset State Airport,Medium airport,North Kingstown,United States
CYRA,YRA,Rae Lakes Airport,Medium airport,Gamètì,Canada
MUNG,GER,Rafael Cabrera Airport,Medium airport,Nueva Gerona,Cuba
TJBQ,BQN,Rafael Hernandez Airport,Medium airport,Aguadilla,Puerto Rico
CYOP,YOP,Rainbow Lake Airport,Medium airport,Rainbow Lake,Canada
KBKW,BKW,Raleigh County Memorial Airport,Medium airport,Beckley,United States
KPNA,PWY,Ralph Wenz Field,Medium airport,Pinedale,United States
PAOT,OTZ,Ralph Wien Memorial Airport,Medium airport,Kotzebue,United States
MHLM,SAP,Ramón Villeda Morales International Airport,Medium airport,San Pedro Sula,Honduras
CYRT,YRT,Rankin Inlet Airport,Medium airport,Rankin Inlet,Canada
KRAP,RAP,Rapid City Regional Airport,Medium airport,Rapid City,United States
KRWL,RWL,Rawlins Municipal Airport/Harvey Field,Medium airport,Rawlins,United States
KRDG,RDG,Reading Regional Carl A Spaatz Field,Medium airport,Reading,United States
KRBL,RBL,Red Bluff Municipal Airport,Medium airport,Red Bluff,United States
CYQF,YQF,Red Deer Regional Airport,Medium airport,Red Deer,Canada
CYRL,YRL,Red Lake Airport,Medium airport,Red Lake,Canada
CYRS,YRS,Red Sucker Lake Airport,Medium airport,Red Sucker Lake,Canada
KRDD,RDD,Redding Municipal Airport,Medium airport,Redding,United States
KHUA,HUA,Redstone Army Air Field,Medium airport,Redstone Arsnl Huntsville,United States
KRWF,RWF,Redwood Falls Municipal Airport,Medium airport,Redwood Falls,United States
CYQR,YQR,Regina International Airport,Medium airport,Regina,Canada
KGLD,GLD,Renner Field-Goodland Municipal Airport,Medium airport,Goodland,United States
KFRG,FRG,Republic Airport,Medium airport,Farmingdale,United States
CYUT,YUT,Repulse Bay Airport,Medium airport,Repulse Bay,Canada
CYRB,YRB,Resolute Bay Airport,Medium airport,Resolute Bay,Canada
MGRT,RER,Retalhuleu Airport,Medium airport,Retalhuleu,Guatemala
CYRV,YRV,Revelstoke Airport,Medium airport,Revelstoke,Canada
KRHI,RHI,Rhinelander Oneida County Airport,Medium airport,Rhinelander,United States
KRMG,RMG,Richard B Russell Airport,Medium airport,Rome,United States
KRVS,RVS,Richard Lloyd Jones Jr Airport,Medium airport,Tulsa,United States
CYXK,YXK,Rimouski Airport,Medium airport,Rimouski,Canada
KRAL,RAL,Riverside Municipal Airport,Medium airport,Riverside,United States
KRIW,RIW,Riverton Regional Airport,Medium airport,Riverton,United States
CYRI,YRI,Rivière-du-Loup Airport,Medium airport,Rivière-du-Loup,Canada
KGRK,GRK,Robert Gray Army Air Field Airport,Medium airport,Fort Hood/Killeen,United States
TKPK,SKB,Robert L. Bradshaw International Airport,Medium airport,Basseterre,Saint Kitts and Nevis
KRDM,RDM,Roberts Field,Medium airport,Redmond,United States
CYRJ,YRJ,Roberval Airport,Medium airport,Roberval,Canada
MYER,RSD,Rock Sound Airport,Medium airport,Rock Sound,Bahamas
KRWI,RWI,Rocky Mount Wilson Regional Airport,Medium airport,Rocky Mount,United States
KBJC,BJC,Rocky Mountain Metropolitan Airport,Medium airport,Denver,United States
KMFR,MFR,Rogue Valley International Medford Airport,Medium airport,Medford,United States
KSTJ,STJ,Rosecrans Memorial Airport,Medium airport,St Joseph,United States
CYDM,XRR,Ross River Airport,Medium airport,Ross River,Canada
KROW,ROW,Roswell International Air Center Airport,Medium airport,Roswell,United States
CZRJ,ZRJ,Round Lake (Weagamow Lake) Airport,Medium airport,Round Lake,Canada
CYUY,YUY,Rouyn Noranda Airport,Medium airport,Rouyn-Noranda,Canada
MGRB,RUV,Rubelsanto Airport,Medium airport,Rubelsanto,Guatemala
MPSA,SYP,Ruben Cantu Airport,Medium airport,Santiago,Panama
PARY,RBY,Ruby Airport,Medium airport,Ruby,United States
KRSL,RSL,Russell Municipal Airport,Medium airport,Russell,United States
KRUT,RUT,Rutland - Southern Vermont Regional Airport,Medium airport,Rutland,United States
CZPB,ZPB,Sachigo Lake Airport,Medium airport,Sachigo Lake,Canada
CYSY,YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Medium airport,Sachs Harbour,Canada
KSAC,SAC,Sacramento Executive Airport,Medium airport,Sacramento,United States
KMHR,MHR,Sacramento Mather Airport,Medium airport,Sacramento,United States
CYSJ,YSJ,Saint John Airport,Medium airport,Saint John,Canada
KSLE,SLE,Salem Municipal Airport/McNary Field,Medium airport,Salem,United States
KSLN,SLN,Salina Municipal Airport,Medium airport,Salina,United States
KSNS,SNS,Salinas Municipal Airport,Medium airport,Salinas,United States
KSUZ,,Saline County Regional Airport,Medium airport,Benton,United States
KSBY,SBY,Salisbury Ocean City Wicomico Regional Airport,Medium airport,Salisbury,United States
CYZG,YZG,Salluit Airport,Medium airport,Salluit,Canada
MDCY,AZS,Samaná El Catey International Airport,Medium airport,Samana,Dominican Republic
MYAN,SAQ,San Andros Airport,Medium airport,Andros Island,Bahamas
KSJT,SJT,San Angelo Regional Mathis Field,Medium airport,San Angelo,United States
KSBD,SBD,San Bernardino International Airport,Medium airport,San Bernardino,United States
MDSI,,San Isidro Air Base,Medium airport,San Isidro,Dominican Republic
MGSJ,GSJ,San José Airport,Medium airport,Puerto San José,Guatemala
MUSJ,SNJ,San Julian Air Base,Medium airport,Pinar Del Rio,Cuba
KSBP,SBP,San Luis County Regional Airport,Medium airport,San Luis Obispo,United States
KALS,ALS,San Luis Valley Regional Bergman Field,Medium airport,Alamosa,United States
KHYI,,San Marcos Regional Airport,Medium airport,San Marcos,United States
MUNB,QSN,San Nicolas De Bari Airport,Medium airport,San Nicolás,Cuba
MZSP,SPR,San Pedro Airport,Medium airport,San Pedro,Belize
MYSM,ZSA,San Salvador Airport,Medium airport,San Salvador,Bahamas
MRSV,TOO,San Vito De Java Airport,Medium airport,Coto Brus,Costa Rica
PASD,SDP,Sand Point Airport,Medium airport,Sand Point,United States
CYZP,YZP,Sandspit Airport,Medium airport,Sandspit,Canada
CZSJ,ZSJ,Sandy Lake Airport,Medium airport,Sandy Lake,Canada
MKJS,MBJ,Sangster International Airport,Medium airport,Montego Bay,Jamaica
CYSK,YSK,Sanikiluaq Airport,Medium airport,Sanikiluaq,Canada
KSBA,SBA,Santa Barbara Municipal Airport,Medium airport,Santa Barbara,United States
KSAF,SAF,Santa Fe Municipal Airport,Medium airport,Santa Fe,United States
KSMX,SMX,Santa Maria Pub/Capt G Allan Hancock Field,Medium airport,Santa Maria,United States
CYXE,YXE,Saskatoon John G. Diefenbaker International Airport,Medium airport,Saskatoon,Canada
CYAM,YAM,Sault Ste Marie Airport,Medium airport,Sault Ste Marie,Canada
PASA,SVA,Savoonga Airport,Medium airport,Savoonga,United States
KHYR,HYR,Sawyer County Airport,Medium airport,Hayward,United States
KSAW,MQT,Sawyer International Airport,Medium airport,Marquette,United States
PACM,SCM,Scammon Bay Airport,Medium airport,Scammon Bay,United States
CYKL,YKL,Schefferville Airport,Medium airport,Schefferville,Canada
KSCH,SCH,Schenectady County Airport,Medium airport,Schenectady,United States
KGLS,GLS,Scholes International At Galveston Airport,Medium airport,Galveston,United States
PASK,WLK,Selawik Airport,Medium airport,Selawik,United States
KMTC,MTC,Selfridge Air National Guard Base Airport,Medium airport,Mount Clemens,United States
CYZV,YZV,Sept-Îles Airport,Medium airport,Sept-Îles,Canada
PAWD,SWD,Seward Airport,Medium airport,Seward,United States
CZTM,ZTM,Shamattawa Airport,Medium airport,Shamattawa,Canada
KEET,,Shelby County Airport,Medium airport,Alabaster,United States
CYSC,YSC,Sherbrooke Airport,Medium airport,Sherbrooke,Canada
KSHR,SHR,Sheridan County Airport,Medium airport,Sheridan,United States
PASH,SHH,Shishmaref Airport,Medium airport,Shishmaref,United States
KSHV,SHV,Shreveport Regional Airport,Medium airport,Shreveport,United States
CZAM,YSN,Shuswap Regional Airport,Medium airport,Salmon Arm,Canada
KSDY,SDY,Sidney - Richland Regional Airport,Medium airport,Sidney,United States
KSNY,SNY,Sidney Municipal-Lloyd W Carr Field,Medium airport,Sidney,United States
KSRR,RUI,Sierra Blanca Regional Airport,Medium airport,Ruidoso,United States
MUMZ,MZO,Sierra Maestra Airport,Medium airport,Manzanillo,Cuba
KFHU,FHU,Sierra Vista Municipal Libby Army Air Field,Medium airport,Fort Huachuca Sierra Vista,United States
MUSN,SZJ,Siguanea Airport,Medium airport,Isla de la Juventud,Cuba
KFBG,FBG,Simmons Army Air Field,Medium airport,Fort Bragg,United States
CYXL,YXL,Sioux Lookout Airport,Medium airport,Sioux Lookout,Canada
TBPB,BGI,Sir Grantley Adams International Airport,Medium airport,Bridgetown,Barbados
PASI,SIT,Sitka Rocky Gutierrez Airport,Medium airport,Sitka,United States
