UWWW,KUF,Kurumoch International Airport,Large airport,Samara,Russia,
GCLA,SPC,La Palma Airport,Large airport,Sta Cruz de la Palma,La Palma Island,Spain
LPLA,TER,Lajes Airport,Large airport,Praia da Vitória,Portugal,
EGNM,LBA,Leeds Bradford Airport,Large airport,Leeds,United Kingdom,
EDDP,LEJ,Leipzig/Halle Airport,Large airport,Leipzig,Germany,
EETN,TLL,Tallinn Airport,Large airport,Tallinn,Estonia,
LIRF,FCO,"Rome–Fiumicino International Airport ""Leonardo da Vinci""",Large airport,Rome,Italy,
EBLG,LGG,Liège Airport,Large airport,Liège,Belgium,
EGGP,LPL,Liverpool John Lennon Airport,Large airport,Liverpool,United Kingdom,
LJLJ,LJU,Ljubljana Jože Pučnik Airport,Large airport,Ljubljana,Slovenia,
EGKK,LGW,London Gatwick Airport,Large airport,London,United Kingdom,
EGLL,LHR,London Heathrow Airport,Large airport,London,United Kingdom,
EGGW,LTN,London Luton Airport,Large airport,London,United Kingdom,
EGSS,STN,London Stansted Airport,Large airport,London,United Kingdom,
ESPA,LLA,Luleå Airport,Large airport,Luleå,Sweden,
ELLX,LUX,Luxembourg-Findel International Airport,Large airport,Luxembourg,Luxembourg,
LFLL,LYS,Lyon Saint-Exupéry Airport,Large airport,Lyon,France,
LZIB,BTS,Bratislava Airport,Large airport,Bratislava,Slovakia,
LEMG,AGP,Málaga Airport,Large airport,Málaga,Spain,
ESMS,MMX,Malmö Airport,Large airport,Malmö,Sweden,
LIMC,MXP,Malpensa International Airport,Large airport,Milan,Italy,
LMML,MLA,Malta International Airport,Large airport,Valletta,Malta,
EGCC,MAN,Manchester Airport,Large airport,Manchester,United Kingdom,
LFML,MRS,Marseille Provence Airport,Large airport,Marseille,France,
LIML,LIN,Milano Linate Airport,Large airport,Milan,Italy,
UMMS,MSQ,Minsk National Airport,Large airport,Minsk,Belarus,
EPMO,WMI,Modlin Airport,Large airport,Warsaw,Poland,
EDDM,MUC,Munich Airport,Large airport,Munich,Germany,
EDDG,FMO,Münster Osnabrück Airport,Large airport,Münster,Germany,
LIRN,NAP,Naples International Airport,Large airport,Nápoli,Italy,
EGNT,NCL,Newcastle Airport,Large airport,Newcastle,United Kingdom,
LFMN,NCE,Nice-Côte d'Azur Airport,Large airport,Nice,France,
EGSH,NWI,Norwich International Airport,Large airport,Norwich,United Kingdom,
EDDN,NUE,Nuremberg Airport,Large airport,Nuremberg,Germany,
UKOO,ODS,Odessa International Airport,Large airport,Odessa,Ukraine,
ENGM,OSL,Oslo Gardermoen Airport,Large airport,Oslo,Norway,
LEPA,PMI,Palma De Mallorca Airport,Large airport,Palma De Mallorca,Spain,
LFPO,ORY,Paris-Orly Airport,Large airport,Paris,France,
LIRP,PSA,Pisa International Airport,Large airport,Pisa,Italy,
URRP,ROV,Platov International Airport,Large airport,Rostov-on-Don,Russia,
LYPG,TGD,Podgorica Airport,Large airport,Podgorica,Montenegro,
EPPO,POZ,Poznań-Ławica Airport,Large airport,Poznań,Poland,
BKPR,PRN,Priština International Airport,Large airport,Prishtina,Kosovo,
ULLI,LED,Pulkovo Airport,Large airport,St. Petersburg,Russia,
LCRA,AKT,RAF Akrotiri,Large airport,Akrotiri,United Kingdom,
EGVN,BZZ,RAF Brize Norton,Large airport,Brize Norton,United Kingdom,
EGVA,FFD,RAF Fairford,Large airport,Fairford,United Kingdom,
EGUL,LKZ,RAF Lakenheath,Large airport,Lakenheath,United Kingdom,
EGUN,MHZ,RAF Mildenhall,Large airport,Mildenhall,United Kingdom,
ETAR,RMS,Ramstein Air Base,Large airport,Ramstein,Germany,
EVRA,RIX,Riga International Airport,Large airport,Riga,Latvia,
EGCN,DSA,Robin Hood Doncaster Sheffield Airport,Large airport,Doncaster,United Kingdom,
LEST,SCQ,Santiago de Compostela Airport,Large airport,Santiago de Compostela,Spain,
LQSA,SJJ,Sarajevo International Airport,Large airport,Sarajevo,Bosnia and Herzegovina,
