ICAO,IATA,Name,Type,Municipality,Country
AYDW,,Dewara Airstrip,Small airport,Dewara,Papua New Guinea
YDFD,,Dexfield Park,Small airport,Wauchope,Australia
YDHL,,Dhalinbuy Airport,Small airport,,Australia
YDMF,,Diemal Find Airport,Small airport,,Australia
NVVD,DLY,Dillon's Bay Airport,Small airport,Dillon's Bay,Vanuatu
YDIM,,Dimbulah Airport,Small airport,,Australia
AYDQ,,Dimisisi Airstrip,Small airport,Dimisisi,Papua New Guinea
AYDN,DNU,Dinangat Airport,Small airport,Dinangat,Papua New Guinea
YDIX,DXD,Dixie Airport,Small airport,New Dixie,Australia
YDPR,,Dneiper Airport,Small airport,,Australia
AYDD,,Dobu Airstrip,Small airport,Dobu,Papua New Guinea
YDOC,,Dochra Airfield,Small airport,Singleton,Australia
YDVR,DKV,Docker River Airport,Small airport,,Australia
AYDO,DOI,Doini Airport,Small airport,Castori Islets,Papua New Guinea
YDOD,,Donald Airport,Small airport,,Australia
YDRA,DOX,Dongara Airport,Small airport,,Australia
YDOP,,Donnington Airpark,Small airport,,Australia
YDOO,,Donors Hill Airport,Small airport,,Australia
YDMG,DMD,Doomadgee Airport,Small airport,,Australia
YDGN,DNG,Doongan Airport,Small airport,,Australia
YDNB,,Doongmabulla Airport,Small airport,,Australia
AYDR,DOO,Dorobisoro Airport,Small airport,Dorobisoro,Papua New Guinea
YDOR,DRD,Dorunda Airport,Small airport,Dorunda Outstation,Australia
YDON,,Dowerin Airport,Small airport,,Australia
YDRN,,Drouin Airport,Small airport,Drouin,Australia
YDDF,DFP,Drumduff Airport,Small airport,Drumduff,Australia
YDRD,DRY,Drysdale River Airport,Small airport,,Australia
YDRG,,Duaringa Airstrip,Small airport,Duaringa,Australia
YDUK,,Duketon Airport,Small airport,,Australia
YDLC,,Dulacca Airport,Small airport,,Australia
YDLK,DLK,Dulkaninna Airport,Small airport,Dulkaninna,Australia
YDGI,,Dullingari Airport,Small airport,,Australia
YDUM,,Dumbleyung Airport,Small airport,,Australia
YDBR,DNB,Dunbar Airport,Small airport,,Australia
YDKI,DKI,Dunk Island Airport,Small airport,Dunk Island,Australia
YDNR,,Dunmore Manila Airport,Small airport,,Australia
YDLL,,Dunolly Airport,Small airport,,Australia
YDUN,SRR,Dunwich Airport,Small airport,Stradbroke Island,Australia
AYDM,,Duranmin Airstrip,Small airport,Duranmin,Papua New Guinea
YDRH,DHD,Durham Downs Airport,Small airport,,Australia
YDRI,DRR,Durrie Airport,Small airport,,Australia
AYDS,,Dusin Airport,Small airport,Dusin,Papua New Guinea
PKRO,,Dyess Army Air Field,Small airport,Roi-Namur,Marshall Islands
YDNV,,Dynevor Downs Airport,Small airport,,Australia
YERH,,Earaheedy Airport,Small airport,,Australia
YELS,,Earlston Airport,Small airport,,Australia
YEDE,,Edenhope Airport,Small airport,,Australia
NWWO,IOU,Edmond Cané Airport,Small airport,Île Ouen,New Caledonia
YEDM,,Edmund Station Airport,Small airport,,Australia
AYED,XYR,Edwaki Airport,Small airport,Yellow River Mission,Papua New Guinea
AYEF,EFG,Efogi Airport,Small airport,Efogi,Papua New Guinea
YELW,,Eildon Weir Airport,Small airport,,Australia
YEIN,EIH,Einasleigh Airport,Small airport,Einasleigh,Australia
YEQO,,El Questro Airport,Small airport,,Australia
YEES,,Elderslie Airport,Small airport,,Australia
AYEM,,Eleme Airstrip,Small airport,Eleme,Papua New Guinea
YELG,,Elengerah Airport,Small airport,,Australia
AYEL,EPT,Eliptamin Airport,Small airport,Eliptamin,Papua New Guinea
YELK,EKD,Elkedra Airport,Small airport,,Australia
YELL,,Elliott Airport,Small airport,Elliott,Australia
YELN,,Elliston Airport,Small airport,http://www.elliston.sa.gov.au,Australia
YELM,,Elmore Airport,Small airport,,Australia
AYEU,,Eloaua Airstrip,Small airport,Eloaua Island,Papua New Guinea
YESE,ERQ,Elrose Airport,Small airport,Elrose Mine,Australia
AYEB,EMS,Embessa Airport,Small airport,Embessa,Papua New Guinea
AYEE,EMI,Emirau Airport,Small airport,Emirau Island,Papua New Guinea
YMKT,,Emkaytee (Unlic) Airport,Small airport,Noonamah,Australia
AYEO,EMO,Emo River Airstrip,Small airport,Emo Mission,Papua New Guinea
YEMJ,,Emu Junction Airport,Small airport,,Australia
YEMP,,Emu Park Airport,Small airport,,Australia
YEEB,ENB,Eneabba Airport,Small airport,Eneabba,Australia
AYEN,EGA,Engati Airstrip,Small airport,Engati,Papua New Guinea
YEGA,,Engonnia Airport,Small airport,,Australia
PKMA,ENT,Eniwetok Airport,Small airport,Eniwetok Atoll,Marshall Islands
NCAT,AIU,Enua Airport,Small airport,Atiu Island,Cook Islands
YEPR,,Epenarra Airport,Small airport,,Australia
YEPL,,Epsilon Airport,Small airport,,Australia
AYEV,ERE,Erave Airport,Small airport,Erave,Papua New Guinea
YERL,EDD,Erldunda Airport,Small airport,,Australia
YERN,ERB,Ernabella Airport,Small airport,,Australia
YEMG,,Eromanga Airport,Small airport,,Australia
YERO,,Erong Station Airport,Small airport,,Australia
YERA,,Errabiddy Homestead Airport,Small airport,,Australia
YERU,,Erudina Airport,Small airport,,Australia
AYER,ERU,Erume Airport,Small airport,Erume,Papua New Guinea
YESC,,Escott Airport,Small airport,,Australia
YEDA,ETD,Etadunna Airport,Small airport,Etadunna,Australia
YEAB,,Euabalong Airport,Small airport,,Australia
YECL,EUC,Eucla Airport,Small airport,,Australia
YEUD,,Eudamulla Station Airport,Small airport,,Australia
YEUL,,Eulalia Airport,Small airport,,Australia
YEUO,,Eulo Airport,Small airport,,Australia
YEUA,,Euroa Aerodrome,Small airport,Euroa,Australia
YEVA,EVD,Eva Downs Airport,Small airport,Eva Downs,Australia
YEVD,EVH,Evans Head Aerodrome,Small airport,,Australia
YEYD,,Evelyn Downs Airport,Small airport,,Australia
YEVP,,Everard Park Airport,Small airport,,Australia
YEXM,EXM,Exmouth Airport,Small airport,,Australia
NTKF,FAC,Faaite Airport,Small airport,,French Polynesia
NSFI,FGI,Fagali'i Airport,Small airport,Apia,Samoa
YFVW,,Fairview Airport,Small airport,,Australia
NTKH,FHZ,Fakahina Airport,Small airport,Fakahina,French Polynesia
AYFA,FNE,Fane Airport,Small airport,Fane Mission,Papua New Guinea
YFWY,,Faraway Bay Airport,Small airport,,Australia
YFFT,,Farrell Flat Airport,Small airport,,Australia
AYFS,,Fas Airstrip,Small airport,Fugari,Papua New Guinea
YFDN,,Federation Hsd Airport,Small airport,,Australia
NZFI,,Feilding Airport,Small airport,Feilding,New Zealand
AGGF,FRE,Fera/Maringe Airport,Small airport,Fera Island,Solomon Islands
AYFE,FRQ,Feramin Airport,Small airport,Feramin,Papua New Guinea
YFNE,FIK,Finke Airport,Small airport,Finke,Australia
YFIL,FLY,Finley Airport,Small airport,,Australia
AYFI,FIN,Finschhafen Airport,Small airport,Buki,Papua New Guinea
YFCK,,Fish Creek Airport,Small airport,,Australia
YFSK,,Fiskville Airport,Small airport,Fiskville,Australia
NZFT,,Flat Point Aerodrome,Small airport,,New Zealand
YFLI,FLS,Flinders Island Airport,Small airport,Flinders Island,Australia
YFLS,,Flinders Island Airport,Small airport,,Australia
YFLO,FVL,Flora Valley Airport,Small airport,,Australia
AYFO,,Fogomaiu Airstrip,Small airport,Fogomaiu,Papua New Guinea
NVVJ,,Forari Airport,Small airport,Forari,Vanuatu
NZFF,,Forest Field Aerodrome,Small airport,,New Zealand
AYFK,,Foroko Airstrip,Small airport,Foroko,Papua New Guinea
YFTA,,Forrestania Airport,Small airport,,Australia
YFSA,,Forsayth Airport,Small airport,,Australia
YFST,FOT,Forster (Wallis Is) Airport,Small airport,,Australia
YFDF,KFE,Fortescue - Dave Forrest Aerodrome,Small airport,Cloudbreak Village,Australia
YFCU,,Fortescue River Airport,Small airport,,Australia
YFOR,,Fortnum Airport,Small airport,,Australia
NZFP,,Foxpine Aerodrome,Small airport,,New Zealand
YFRK,,Frankland Airport,Small airport,Frankland River Grazing co,Australia
NZFJ,WHO,Franz Josef Aerodrome,Small airport,,New Zealand
YFRG,,Fregon Airport,Small airport,,Australia
AYFR,FAQ,Frieda River Airport,Small airport,Frieda River,Papua New Guinea
YFRI,,Friendly Beaches Airport,Small airport,,Australia
YFRD,,Frome Downs Airport,Small airport,,Australia
AYFU,FUM,Fuma Airport,Small airport,Fuma,Papua New Guinea
NVVF,FTA,Futuna Airport,Small airport,Futuna Island,Vanuatu
YGOV,,Gabo Is aAd sSte Airport,Small airport,,Australia
YGBO,,Gabo Island Airport,Small airport,,Australia
NZGA,,Galatea Airfield,Small airport,,New Zealand
YGDV,,Galdeville Airport,Small airport,,Australia
YGLP,,Gallipolli Airport,Small airport,Nicholson,Australia
YGWD,,Galway Downs Airport,Small airport,,Australia
YGAM,GBP,Gamboola Airport,Small airport,,Australia
YGAN,,Gan Gan Airport,Small airport,,Australia
AYGI,GAR,Garaina Airport,Small airport,Garaina,Papua New Guinea
AYGG,GRL,Garasa Airport,Small airport,Au,Papua New Guinea
YGAD,,Garden Island (Military) Airport,Small airport,,Australia
YGSC,GSC,Gascoyne Junction Airport,Small airport,Gascoyne Junction,Australia
AYGT,GMI,Gasmata Island Airport,Small airport,Gasmata Island,Papua New Guinea
AYGS,GBC,Gasuke Airport,Small airport,Gasuke,Papua New Guinea
AGOK,GTA,Gatokae Airport,Small airport,Gatokae,Solomon Islands
AYGQ,,Gawa Airstrip,Small airport,Gawa,Papua New Guinea
YGAW,,Gawler Airport,Small airport,,Australia
YGAY,GAH,Gayndah Airport,Small airport,,Australia
YGLG,GEX,Geelong Airport,Small airport,,Australia
AYGE,,Geigorobi Airstrip,Small airport,Geigorobi,Papua New Guinea
AYGM,,Gema Airstrip,Small airport,Gema,Papua New Guinea
YGTO,GEE,Georgetown (Tas) Airport,Small airport,,Australia
YGTN,GTT,Georgetown Airport,Small airport,,Australia
AGEV,GEF,Geva Airport,Small airport,Liangia,Solomon Islands
AYGC,GEW,Gewoia Airport,Small airport,Gewoia,Papua New Guinea
YGIB,GBV,Gibb River Airport,Small airport,,Australia
YGID,,Gidgee Airport,Small airport,,Australia
YGIF,,Gifford Creek Station Airport,Small airport,,Australia
YGLS,,Giles Airport,Small airport,Warakurna,Australia
YGPI,,Giles Point Airport,Small airport,,Australia
YGIL,,Gilgandra Airport,Small airport,,Australia
AYGD,,Gimi Airstrip,Small airport,Amusa,Papua New Guinea
YGIA,GBW,Ginbata Airport,Small airport,Ginbata,Australia
YGIR,,Giralia Airport,Small airport,,Australia
YGGL,,Glen Garland Airport,Small airport,,Australia
YGHG,,Glen Harding Airport - CLOSED,Small airport,,Australia
YGRU,,Glen Ruth Airport,Small airport,,Australia
YGLY,,Glenayle Homestead Airport,Small airport,,Australia
YGLN,,Glencoe Airport,Small airport,,Australia
YGLD,,Glendambo Airport,Small airport,,Australia
YGVE,,Glendevie Airport,Small airport,,Australia
YGLE,GLG,Glengyle Airport,Small airport,,Australia
NZGY,,Glenorchy Airport,Small airport,,New Zealand
YGLO,GLM,Glenormiston Airport,Small airport,,Australia
YGCR,,Gloucester Airport,Small airport,,Australia
YGAR,,Gnaraloo Station Airport,Small airport,,Australia
YGNW,,Gnowangerup Airport,Small airport,,Australia
AYGB,,Gobe Airport,Small airport,Gobe,Papua New Guinea
AYGO,,Gokto Airstrip,Small airport,Gokto,Papua New Guinea
YGGE,,Golden Grove Airport,Small airport,,Australia
AYGL,GOE,Gonaili Airport,Small airport,Gonaili,Papua New Guinea
YGDA,,Goodooga Airport,Small airport,,Australia
YGGI,,Goolgowi Airport,Small airport,,Australia
YGWA,,Goolwa Airport,Small airport,,Australia
YGMD,,Goomadeer Airport,Small airport,,Australia
YGOM,,Goomalling Airport,Small airport,,Australia
YGDI,GOO,Goondiwindi Airport,Small airport,,Australia
YGGO,,Goonoo Goonoo Airport,Small airport,,Australia
AYGX,GOC,Gora Airstrip,Small airport,Gora,Papua New Guinea
YGDN,GDD,Gordon Downs Airport,Small airport,Gordon Downs,Australia
NZGC,,Gore3 Airport,Small airport,,New Zealand
YCHK,CKW,Graeme Rowley Aerodrome,Small airport,Christmas Creek Mine,Australia
YGMP,,Grampians Airport,Small airport,,Australia
YGNA,,Granada Airport,Small airport,,Australia
YGDW,GTS,Granite Downs Airport,Small airport,,Australia
NZGB,GBZ,Great Barrier Aerodrome,Small airport,Claris,New Zealand
YGKL,GKL,Great Keppel Is Airport,Small airport,Great Keppel Island,Australia
YGRL,,Great Lakes Vi Airport,Small airport,,Australia
NZGR,,Great Mercury Airport,Small airport,,New Zealand
AYGV,GVI,Green River Airport,Small airport,Green River,Papua New Guinea
YGAH,,Greenbah Airport,Small airport,,Australia
YGTP,,Greenthorpe Airport,Small airport,,Australia
YGNV,GVP,Greenvale Airport,Small airport,,Australia
YGDS,GGD,Gregory Downs Airport,Small airport,,Australia
YGGS,,Gregory Springs Airport,Small airport,,Australia
YGNF,GFE,Grenfell Airport,Small airport,Grenfell,Australia
NZGM,GMN,Greymouth Airport,Small airport,,New Zealand
YGRD,,Grovedale Airport,Small airport,,Australia
AYGF,GUG,Guari Airport,Small airport,Guari,Papua New Guinea
AYGJ,GAZ,Guasopa Airport,Small airport,Woodlark (Muyua) Island,Papua New Guinea
AYGY,,Guavi Airstrip,Small airport,Guavi,Papua New Guinea
AYGZ,,Gubam Airstrip,Small airport,Gubam,Papua New Guinea
AYUB,,Gubil Airstrip,Small airport,Bufripmin/Usareimin,Papua New Guinea
AYGH,,Guhu Airstrip,Small airport,Guhu,Papua New Guinea
AYUP,GLP,Gulgubip Airport,Small airport,Gulgubip,Papua New Guinea
YGUL,,Gullewa Airport,Small airport,,Australia
YGBW,,Gunbower Airport,Small airport,,Australia
YGDO,,Gundaroo Airport,Small airport,,Australia
YGUW,,Gunnawarra Airport,Small airport,,Australia
YGPR,,Gunpowder Airport,Small airport,,Australia
AYGP,GAP,Gusap Airport,Small airport,Gusap,Papua New Guinea
AYGW,,Guwasa Airport,Small airport,Guwasa,Papua New Guinea
AGGA,AKS,Gwaunaru'u Airport,Small airport,Auki,Solomon Islands
YGYM,GYP,Gympie Airport,Small airport,,Australia
NZHT,,Haast Aerodrome,Small airport,,New Zealand
YHAA,,Haasts Bluff Airport,Small airport,,Australia
AYHB,HBD,Habi Airport,Small airport,Habi,Papua New Guinea
AYHN,,Habina Airstrip,Small airport,Habina,Papua New Guinea
YHRG,,Haddon Rig Airport,Small airport,,Australia
AYHG,HEO,Haelogo Airport,Small airport,Haelogo,Papua New Guinea
AYHW,,Haewenai Airstrip,Small airport,Haewenai,Papua New Guinea
AYHA,,Haia Airport,Small airport,,Papua New Guinea
YHAG,,Haig Airport,Small airport,,Australia
AYHO,HIT,Haivaro Airport,Small airport,Haivaro,Papua New Guinea
YHMT,,Hamilton Airport,Small airport,,Australia
NZHR,,Hanmer Springs Airport,Small airport,,New Zealand
YHAE,,Harden Airport,Small airport,,Australia
YHTS,,Harts Range Airport,Small airport,,Australia
YHVH,,Harvest Home Airport,Small airport,,Australia
NZHS,,Hastings Aerodrome,Small airport,Bridge Pa,New Zealand
AYHQ,,Hauna Airstrip,Small airport,Hauna,Papua New Guinea
AYHU,HWA,Hawabango Airport,Small airport,Hawabango,Papua New Guinea
NZHA,,Hawera Airport,Small airport,Hawera,New Zealand
AYHF,HYF,Hayfields Airport,Small airport,Bainyik,Papua New Guinea
YHDY,HIP,Headingly Airport,Small airport,,Australia
YHCT,,Heathcote Emergency Airport,Small airport,,Australia
YHTL,HAT,Heathlands Airport,Small airport,,Australia
YHEC,,Heck Field Airport,Small airport,,Australia
YHEW,,Hedlow Airport,Small airport,Mulara,Australia
AYHE,HNI,Heiweni Airport,Small airport,Heiweni,Papua New Guinea
YHEG,,Hells Gate Airport,Small airport,,Australia
YHBY,HRY,Henbury Airport,Small airport,,Australia
YHTN,,Herberton Airport,Small airport,,Australia
YHMB,HMG,Hermannsburg Airport,Small airport,,Australia
AYHX,,Herowena Airstrip,Small airport,Herowana,Papua New Guinea
AYHL,,Hesalibi Airstrip,Small airport,Hesalibi,Papua New Guinea
AYHJ,,Hewa Airstrip,Small airport,Hewa,Papua New Guinea
YHAB,,Hideaway Bay Airport,Small airport,,Australia
YHHY,HIG,Highbury Airport,Small airport,,Australia
NTGH,HHZ,Hikueru Atoll Airport,Small airport,Hikueru Atoll,French Polynesia
YHLG,,Hillgrove Airport,Small airport,,Australia
YHLM,,Hillman Farm Airport,Small airport,,Australia
YHIL,HLL,Hillside Airport,Small airport,Hillside,Australia
YHLS,,Hillston Airport,Small airport,,Australia
YHTA,,Hiltaba Airport,Small airport,,Australia
YCBG,,Hobart Cambridge Airport,Small airport,,Australia
YHOV,,Hodgeson River Airfield,Small airport,Hodgeson River,Australia
YHDD,,Hodgson Downs Airport,Small airport,,Australia
YHBK,,Holbrook Airport,Small airport,,Australia
YHOY,,Hollins Bay Airport,Small airport,,Australia
YSHW,,Holsworthy (Military) Airport,Small airport,,Australia
AYHH,HNN,Honinabi Airport,Small airport,Honinabi,Papua New Guinea
YHOO,HOK,Hooker Creek Airport,Small airport,Lajamanu,Australia
YHPV,HPE,Hope Vale Airport,Small airport,Hope Vale,Australia
YHPE,,Hopetoun Airport,Small airport,,Australia
YHSB,,Horseshoe Bend Airport,Small airport,,Australia
YHSL,,Horseshoe Lights Airport,Small airport,,Australia
AYHT,,Hotmin Airstrip,Small airport,Hotmin Mission,Papua New Guinea
YHOA,,Howard Island Airport,Small airport,,Australia
YJST,,Hubert Wilkins Airstrip,Small airport,Jamestown,Australia
YHKT,,Huckitta Airport,Small airport,,Australia
YHGR,,Hugh River Airport,Small airport,,Australia
YHUG,HGD,Hughenden Airport,Small airport,,Australia
YHGS,,Hughes Siding Airport,Small airport,,Australia
YHBR,HUB,Humbert River Airport,Small airport,,Australia
YHRD,,Hungerford Airport,Small airport,,Australia
YHTR,,Hunter Island Airport,Small airport,,Australia
AYHY,,Huya Airstrip,Small airport,Huya,Papua New Guinea
YHYD,,Hyden Airport,Small airport,,Australia
AYIU,IAL,Ialibu Airport,Small airport,Ialibu,Papua New Guinea
AYIB,,Ibil Airstrip,Small airport,Ibil,Papua New Guinea
YIDR,,Idracowra Airport,Small airport,,Australia
YIFY,IFF,Iffley Airport,Small airport,,Australia
AYIH,IHU,Ihu Airport,Small airport,Ihu,Papua New Guinea
AYII,IMN,Imane Airport,Small airport,Imane,Papua New Guinea
YIMA,,Imanpa Airport,Small airport,,Australia
AYIO,IMD,Imonda Airport,Small airport,Imonda,Papua New Guinea
YIMP,,Impadna Airport,Small airport,,Australia
AYIR,,Inaru Airstrip,Small airport,Inaru,Papua New Guinea
AYID,IDN,Indagen Airport,Small airport,Indagen,Papua New Guinea
YIDK,IDK,Indulkana Airport,Small airport,,Australia
YING,,Ingelara Airport,Small airport,Rewan,Australia
YIGM,IGH,Ingham Airport,Small airport,,Australia
YILW,,Inglewood Airport,Small airport,Inglewood,Australia
YIGR,,Ingomar Airport,Small airport,,Australia
YINJ,INJ,Injune Airport,Small airport,Injune,Australia
YIKM,IKP,Inkerman Airport,Small airport,,Australia
YINN,INM,Innamincka Airport,Small airport,,Australia
YIMT,,Innamincka Township Airport,Small airport,Innamincka Township,Australia
YISV,,Innesvale Airport,Small airport,,Australia
YIFL,IFL,Innisfail Airport,Small airport,,Australia
YINO,,Inverell North Airport,Small airport,,Australia
YINV,,Inverleigh Airport,Small airport,,Australia
YINW,IVW,Inverway Airport,Small airport,Inverway,Australia
NVVI,IPA,Ipota Airport,Small airport,Ipota,Vanuatu
AYIP,,Iropena Airstrip,Small airport,Iropena,Papua New Guinea
AYIS,,Isan Airstrip,Small airport,Isan,Papua New Guinea
YISD,,Isis Downs Airport,Small airport,,Australia
YISF,ISI,Isisford Airport,Small airport,,Australia
AYIT,,Iteri Airstrip,Small airport,Iteri,Papua New Guinea
AYIK,ITK,Itokama Airport,Small airport,Itokama,Papua New Guinea
YIVO,,Ivanhoe Airport,Small airport,,Australia
YJAB,JAB,Jabiru Airport,Small airport,,Australia
YJAK,,Jackson Airport,Small airport,,Australia
YJCW,,Jacobs Well Airport,Small airport,,Australia
AYJB,JAQ,Jacquinot Bay Airport,Small airport,Jacquinot Bay,Papua New Guinea
YJAM,,Jameson Airport,Small airport,,Australia
YJEY,,Jeedamya Airport,Small airport,,Australia
YJEM,,Jemalong Airport,Small airport,,Australia
YJCO,,Jericho Airport,Small airport,,Australia
YJRO,,Jericho Airport,Small airport,,Australia
YJER,,Jerilderie Airport,Small airport,,Australia
YJGP,,Jerramungup Airport,Small airport,,Australia
YJBY,,Jervis Bay Airport,Small airport,Jervis Bay Territory,Australia
YJVS,,Jervois Airport,Small airport,,Australia
YJVM,,Jervois Mine Airport,Small airport,,Australia
YJIG,,Jiggalong Mission Airport,Small airport,,Australia
YJIN,QJD,Jindabyne Airport,Small airport,,Australia
YJNK,,Jinka Airport,Small airport,,Australia
YJNY,,Jonroy Airport,Small airport,,Australia
AYJS,JOP,Josephstaal Airport,Small airport,Josephstaal,Papua New Guinea
YJWB,,Jowalbinna Airport,Small airport,,Australia
YJLC,JCK,Julia Creek Airport,Small airport,,Australia
YJDA,JUN,Jundah Airport,Small airport,,Australia
YJUN,,Jundee Airport,Small airport,,Australia
AYJL,,Junkaral Airstrip,Small airport,Junkaral,Papua New Guinea
YJNB,JUR,Jurien Bay Airport,Small airport,,Australia
AYOR,,Kabori Airstrip,Small airport,Kabori,Papua New Guinea
AYKB,KBM,Kabwum,Small airport,,Papua New Guinea
YKDI,,Kadina Airport,Small airport,,Australia
AYKF,,Kafa Airstrip,Small airport,Kafa,Papua New Guinea
AYKL,,Kafle Airstrip,Small airport,Kafle,Papua New Guinea
AGKG,KGE,Kaghau Airport,Small airport,Kagau Island,Solomon Islands
AYKQ,KGW,Kagi Airport,Small airport,Kagi,Papua New Guinea
NFKB,,Kaibu Island Airport,Small airport,Kaibu Island,Fiji
NZKO,KKO,Kaikohe Airport,Small airport,,New Zealand
NZKI,KBZ,Kaikoura Airport,Small airport,,New Zealand
AYKT,KZF,Kaintiba Airport,Small airport,Kaintiba,Papua New Guinea
NZKF,,Kaipara Flats Airport,Small airport,,New Zealand
AYKZ,,Kairiru Airstrip,Small airport,Kairiru Island,Papua New Guinea
AYRK,RKU,Kairuku Airport,Small airport,Yule Island,Papua New Guinea
YKIU,,Kaiuroo Airport,Small airport,,Australia
YKAJ,,Kajabbi Airport,Small airport,,Australia
AYRO,KOR,Kakoro(Koroko) Airstrip,Small airport,Kakoro,Papua New Guinea
YKLR,,Kalamurina Airport,Small airport,,Australia
YKAE,,Kalannie Airport,Small airport,,Australia
YKBR,KAX,Kalbarri Airport,Small airport,Kalbarri,Australia
YKLG,,Kalinga Airport,Small airport,,Australia
YKKG,KFG,Kalkgurung Airport,Small airport,,Australia
YKLL,,Kallala Airport,Small airport,,Australia
YKPR,KPP,Kalpowar Airport,Small airport,Kalpower,Australia
YKAL,UBU,Kalumburu Airport,Small airport,,Australia
YKBL,KDB,Kambalda Airport,Small airport,Kambalda,Australia
AYTO,KDQ,Kamberatoro Airport,Small airport,Kamberatoro Mission,Papua New Guinea
YKML,KML,Kamileroi Airport,Small airport,,Australia
AYKD,KMF,Kamina Airport,Small airport,Hoieti,Papua New Guinea
AYKH,KAQ,Kamulai Airport,Small airport,Kamulai Mission,Papua New Guinea
AYKS,KUY,Kamusi Airport,Small airport,Kamusi,Papua New Guinea
AYNB,KEX,Kanabea Airport,Small airport,Kanabea,Papua New Guinea
AYKJ,KNE,Kanainj Airport,Small airport,Kanainj,Papua New Guinea
YKAN,,Kanandah Airport,Small airport,,Australia
AYNN,KDP,Kandep Airport,Small airport,Kandep,Papua New Guinea
AYKC,KDR,Kandrian Airport,Small airport,Kandrian,Papua New Guinea
YKWG,,Kangaroo Well Airport,Small airport,,Australia
YKNV,,Kaniva Airport,Small airport,,Australia
AYNT,,Kantobo Airstrip,Small airport,Kantobo,Papua New Guinea
AYPI,,Kapi Airstrip,Small airport,Kapi,Papua New Guinea
YKAP,,Kapunda Airport,Small airport,Kapunda,Australia
KAK,,Kar Airport,Small airport,Kar,Papua New Guinea
AYKR,KRX,Kar Kar Airport,Small airport,Kar Kar Island,Papua New Guinea
NZKM,,Karamea Airport,Small airport,,New Zealand
AYQA,KRJ,Karawari Airstrip,Small airport,Amboin,Papua New Guinea
AYRI,KMR,Karimui Airport,Small airport,Karimui,Papua New Guinea
YKMB,KRB,Karumba Airport,Small airport,,Australia
AYNM,KSB,Kasonombe Airport,Small airport,Kasonombe,Papua New Guinea
YKNG,KNI,Katanning Airport,Small airport,,Australia
YKHG,,Katherine Gorge Airport,Small airport,,Australia
NTKT,KXU,Katiu Airport,Small airport,Katiu,French Polynesia
YKAT,,Katoomba Airport,Small airport,,Australia
NTKA,KHZ,Kauehi Airport,Small airport,Kauehi,French Polynesia
NFTE,EUA,Kaufana Airport,Small airport,Eua Island,Tonga
AYKW,KWO,Kawito Airport,Small airport,Kawito,Papua New Guinea
YKAY,,Kayrunnera Airport,Small airport,,Australia
AYLG,KEG,Keglsugl Airport,Small airport,Denglagu Mission,Papua New Guinea
YKTH,,Keith Airport,Small airport,,Australia
YKEB,,Kellerberrin Airport,Small airport,,Australia
NZKC,,Kelly Field,Small airport,,New Zealand
YKEL,,Kelvin Station Airport,Small airport,,Australia
YKNC,,Kencherang Airport,Small airport,,Australia
YKRV,,Kendall River Airport,Small airport,,Australia
YKEN,,Kenmore Park Airport,Small airport,,Australia
AYEA,KRU,Kerau Airport,Small airport,Gunim,Papua New Guinea
YKHA,,Khancoban Airport,Small airport,,Australia
YKIA,,Kiana Station Airport,Small airport,,Australia
AYNQ,,Kibeni Airstrip,Small airport,Kibeni,Papua New Guinea
AYLI,KII,Kibuli Airstrip,Small airport,Kibuli,Papua New Guinea
YKDM,,Kidman Springs Airport,Small airport,,Australia
YKID,,Kidston Airport,Small airport,,Australia
AYKK,KRI,Kikori Airport,Small airport,Kikori,Papua New Guinea
YKIL,,Kildurk Airport,Small airport,,Australia
AYIF,,Kilifas Airstrip,Small airport,Kilifas,Papua New Guinea
YKLE,,Killarney Airport,Small airport,,Australia
YKLN,,Killarney Airport,Small airport,,Australia
YKCK,,Killiecrankie Airport,Small airport,,Australia
YIMB,,Kimba Airport,Small airport,,Australia
YKFC,,Kingfisher Camp Airport,Small airport,,Australia
YKGA,,Kingoonya Airport,Small airport,,Australia
YKCA,KBJ,Kings Canyon Airport,Small airport,Kings Canyon Resort,Australia
YKCS,KCS,Kings Creek Airport,Small airport,,Australia
YKIG,,Kingston Airport,Small airport,,Australia
YKNT,,Kintore Airport,Small airport,,Australia
AYRA,KIQ,Kira Airport,Small airport,Kira,Papua New Guinea
AYRT,,Kirinbit Airstrip,Small airport,Kirinbit,Papua New Guinea
AYRW,,Kiriwo Airstrip,Small airport,Kiriwa,Papua New Guinea
YKIR,KBB,Kirkimbie Station Airport,Small airport,Kirkimbie,Australia
AYKI,UNG,Kiunga Airport,Small airport,Kiunga,Papua New Guinea
AYLH,,Klauhau Airstrip,Small airport,Klauhau,Papua New Guinea
AYON,KMB,Koinambe Airport,Small airport,Konambe,Papua New Guinea
YKOJ,,Kojonup Airport,Small airport,,Australia
YKKH,,Kokatha Airport,Small airport,,Australia
AYKO,KKD,Kokoda Airport,Small airport,Kokoda,Papua New Guinea
AYOL,KQL,Kol Airport,Small airport,Kol,Papua New Guinea
YKOL,,Kolendo Airport,Small airport,,Australia
AYOQ,KCJ,Komaio Airport,Small airport,Komaio,Papua New Guinea
AYOK,HOC,Komako Airport,Small airport,Komako,Papua New Guinea
AYOU,,Kombaku Airstrip,Small airport,Kombaku,Papua New Guinea
AYOO,KOM,Komo-Manda Airport,Small airport,Komo,Papua New Guinea
