ICAO,IATA,Name,Type,Municipality,Country,
VYMM,MNU,Mawlamyine Airport,Small airport,Mawlamyine,Burma,
UHKM,GVN,Maygatka Airport.,Medium airport,Sovetskaya Gavan,Russia,
UT73,,Maymanak Airport,Small airport,Maynanak,Uzbekistan,
OAMS,MZR,Mazar I Sharif Airport,Medium airport,Mazar-i-Sharif,Afghanistan,
RK1F,,McDonald Barracks Heliport (C-114),Heliport,,South Korea,
OE49,,Mecca East Airport,Small airport,,Saudi Arabia,
VA2B,,Meerut Sw Airport,Small airport,,India,
VNMG,MEY,Meghauli Airport,Small airport,Meghauli,Nepal,
LLMG,,Megiddo Airport,Small airport,Afula,Israel,
OIII,THR,Mehrabad International Airport,Large airport,Tehran,Iran,
OI1C,,Mehtar Kalateh Airport,Small airport,,Iran,
VYML,,Meiktila Air Base,Medium airport,Meiktila,Burma,
ZGMX,MXZ,Meixian Airport,Small airport,Meixian,China,
WAOH,,Mekar Putih Airport,Small airport,Mekar Putih-Laut Island,Indonesia,
WALE,,Melak Airport,Small airport,Melak-Borneo Island,Indonesia,
WAMN,MNA,Melangguane Airport,Small airport,Karakelong Island,Indonesia,
RJCM,MMB,Memanbetsu Airport,Medium airport,Ōzora,Japan,
WRKJ,,Mena Airport,Small airport,Mena-Timor Island,Indonesia,
UHSM,DEE,Mendeleyevo Airport,Small airport,Kunashir Island,Russia,
WIPM,,Menggala Airport,Small airport,Menggala-Sumatra Island,Indonesia,
WASM,RDE,Merdei Airport,Small airport,Merdei-Papua Island,Indonesia,
WMAU,MEP,Mersing Airport,Small airport,Mersing,Malaysia,
RJDM,,Metabaru Air Base,Small airport,,Japan,
OS67,,Mezzeh Airport,Small airport,Mezzeh,Syria,
OPMI,MWD,Mianwali Air Base,Medium airport,Mianwali,Pakistan,
ZUMY,MIG,Mianyang Airport,Medium airport,Mianyang,China,
RJOH,YGJ,Miho Yonago Airport,Medium airport,Yonago,Japan,
LTFE,BJV,Milas Bodrum Airport,Large airport,Bodrum,Turkey,
UHPM,,Milkovo Airport,Small airport,Milkovo,Russia,
RJAM,MUS,Minami Torishima Airport,Small airport,,Japan,
ROMD,MMD,Minami-Daito Airport,Medium airport,Minamidaitō,Japan,
WIEE,PDG,Minangkabau International Airport,Medium airport,Ketaping/Padang - Sumatra Island,Indonesia,
WAKD,MDP,Mindiptana Airport,Small airport,Mindiptana-Papua Island,Indonesia,
OPMS,ATG,Minhas Air Base,Medium airport,Kamra,Pakistan,
OP11,,Mir Baz Airport,Small airport,Mir Baz,Pakistan,
OPMN,,Miram Shah Airport,Small airport,Miram Shah,Pakistan,
WBGR,MYY,Miri Airport,Medium airport,Miri,Malaysia,
UERR,MJZ,Mirny Airport,Medium airport,Mirny,Russia,
OPMK,,Mirpur Khas Air Base,Small airport,Mirpur Khas,Pakistan,
RJSM,MSJ,Misawa Air Base,Medium airport,Misawa,Japan,
LLMR,,Mitzpe Ramon Airfield,Small airport,Mitzpe Ramon,Israel,
RJTQ,MYE,Miyakejima Airport,Medium airport,Miyakejima,Japan,
ROMY,MMY,Miyako Airport,Medium airport,Miyako City,Japan,
RJFM,KMI,Miyazaki Airport,Medium airport,Miyazaki,Japan,
WABD,ONI,Moanamani Airport,Small airport,Moanamani-Papua Island,Indonesia,
OPMJ,MJD,Moenjodaro Airport,Medium airport,Moenjodaro,Pakistan,
RPVJ,MBT,Moises R. Espinosa Airport,Medium airport,Masbate,Philippines,
VYMO,MOE,Momeik Airport,Medium airport,Shan,Burma,
RJEB,MBE,Monbetsu Airport,Medium airport,Monbetsu,Japan,
VDMK,MWV,Mondulkiri Airport,Small airport,Sen Monorom,Cambodia,
VYMH,,Mong Hpayak Airport,Small airport,Mong Hpayak,Burma,
VYMS,MOG,Mong Hsat Airport,Medium airport,Mong Hsat,Burma,
VYMT,MGK,Mong Tong Airport,Small airport,Mong Tong,Burma,
VYMP,,Mongpyin Airport,Small airport,Mongpyin,Burma,
VYMI,,Mongyai Airport,Small airport,Mongyai,Burma,
VYMY,NYW,Monywar Airport,Small airport,Monywar,Burma,
WAKK,MKQ,Mopah Airport,Medium airport,Merauke-Papua Island,Indonesia,
ZMMN,MXV,Mörön Airport,Medium airport,Mörön,Mongolia,
WABP,TIM,Moses Kilangin Airport,Medium airport,Timika-Papua Island,Indonesia,
ORBM,OSM,Mosul International Airport,Medium airport,Mosul,Iraq,
RKPM,,Mosulpo Airbase Heliport,Heliport,Mosulpo,South Korea,
RJNS,FSZ,Mt. Fuji Shizuoka Airport,Large airport,Makinohara / Shimada,Japan,
RKJB,MWX,Muan International Airport,Large airport,Piseo-ri (Muan),South Korea,
WMAV,,Muar / Bakri Airport,Small airport,Muar,Malaysia,
WALQ,,Muara Badak Pujangan Airport,Small airport,Muara Badak-Borneo Island,Indonesia,
WIPI,BUU,Muara Bungo Airport,Small airport,Muara Bungo,Indonesia,
WALW,,Muara Wahau Airport,Small airport,Muara Wahau-Borneo Island,Indonesia,
ZYMD,MDG,Mudanjiang Hailang International Airport,Medium airport,Mudanjiang,China,
KQMG,,Mudaysis Air Base,Small airport,,Iraq,
WADB,BMU,Muhammad Salahuddin Airport,Small airport,Bima-Sumbawa Island,Indonesia,
VA1D,,Muirpur Airport,Small airport,,India,
WBGK,MKM,Mukah Airport,Small airport,Mukah,Malaysia,
OYRN,RIY,Mukalla International Airport,Medium airport,Riyan,Yemen,
OYMS,UKR,Mukeiras Airport,Small airport,Mukayras,Yemen,
UGMM,,Mukhrani Airport,Small airport,,Georgia,
WIPU,MPC,Muko Muko Airport,Small airport,Muko Muko-Sumatra Island,Indonesia,
WABQ,LII,Mulia Airport,Small airport,Mulia-Papua Island,Indonesia,
OPMT,MUX,Multan International Airport,Medium airport,Multan,Pakistan,
WBMU,MZV,Mulu Airport,Medium airport,Mulu,Malaysia,
UHNA,,Munuk Airport,Small airport,Ayan,Russia,
VALT,LTU,Murod Kond Airport,Medium airport,Latur,India,
LTCK,MSR,Muş Airport,Medium airport,Muş,Turkey,
OOMS,MCT,Muscat International Airport,Large airport,Muscat,Oman,
OPSR,SGI,Mushaf Air Base,Medium airport,Sargodha,Pakistan,
WAML,PLW,Mutiara Airport,Medium airport,Palu-Celebes Island,Indonesia,
OJ40,,Muwaffaq Salti Air Base,Medium airport,Al Azraq,Jordan,
UTNM,,Muynak Airport,Small airport,Muynak,Uzbekistan,
OPMF,MFG,Muzaffarabad Airport,Medium airport,Muzaffarabad,Pakistan,
VEMZ,MZU,Muzaffarpur Airport,Medium airport,Muzaffarpur,India,
VYMU,,Myauk U Airport,Small airport,Myauk U,Burma,
VYME,MGZ,Myeik Airport,Medium airport,Mkeik,Burma,
VYMK,MYT,Myitkyina Airport,Medium airport,Myitkyina,Burma,
USDK,YMK,Mys Kamenny Airport,Small airport,Mys Kamennyi,Russia,
VOMY,MYQ,Mysore Airport,Small airport,Mysore,India,
RK9S,,N 101 Helipad,Heliport,Maehwa-ri,South Korea,
RKC9,,N 102 Helipad,Heliport,Hagwangjeong-ri,South Korea,
RKDU,,N 104 Helipad,Heliport,Ulleung-do Island,South Korea,
RKDD,,N 105 Helipad,Heliport,Dokdo (Liancort Rocks),South Korea,
RK8D,,N 109 Helipad,Heliport,,South Korea,
RK8E,,N 110 Helipad,Heliport,,South Korea,
RKSD,,N 200 Heliport,Heliport,,South Korea,
RKBN,,N 201 Helipad,Heliport,Poseung,South Korea,
RKD4,,N 207 Helipad,Heliport,Baegryeong-do Island,South Korea,
RK8H,,N 210 Helipad,Heliport,,South Korea,
RK8K,,N 214 Helipad,Heliport,Yonggang-ri,South Korea,
RK8L,,N 215 Helipad,Heliport,,South Korea,
RK9Z,,N 217 Helipad,Heliport,Seogeom-ri,South Korea,
RKA1,,N 218 Helipad,Heliport,Nangot,South Korea,
RKA2,,N 219 Helipad,Heliport,Jangguneomeo,South Korea,
RK8M,,N 220 Helipad,Heliport,Jumundo Island,South Korea,
RK9V,,N 221 Helipad,Heliport,,South Korea,
RK8N,,N 222 Helipad,Heliport,Yagam-ri,South Korea,
RK8P,,N 229 Helipad,Heliport,,South Korea,
RKA5,,N 231 Helipad,Heliport,Boreumdo-ri,South Korea,
RK8R,,N 302 Helipad,Heliport,Meajuk-ri,South Korea,
RK8S,,N 303 Helipad,Heliport,Yokjido Island,South Korea,
RK8T,,N 305 Helipad,Heliport,Port Hamilton,South Korea,
RK8V,,N 307 Helipad,Heliport,Anma Island,South Korea,
RK8W,,N 308 Helipad,Heliport,Heuksangdo Island,South Korea,
RK8X,,N 309 Helipad,Heliport,,South Korea,
RK8Y,,N 310 Helipad,Heliport,,South Korea,
RK9B,,N 315 Helipad,Heliport,,South Korea,
RK9I,,N 323 Helipad,Heliport,,South Korea,
RK9J,,N 324 Helipad,Heliport,Sang-Chuja Island,South Korea,
RKA6,,N-304 Helipad,Heliport,Seodo,South Korea,
VVNS,SQH,Na-San Airport,Small airport,Son-La,Vietnam,
WABI,NBX,Nabire Airport,Medium airport,Nabire-Papua Island,Indonesia,
USMM,NYM,Nadym Airport,Medium airport,Nadym,Russia,
RPUN,WNP,Naga Airport,Medium airport,Naga,Philippines,
VONS,,Nagarjuna Sagar Airport,Small airport,,India,
RJFU,NGS,Nagasaki Airport,Medium airport,Nagasaki,Japan,
VI73,,Nagaur Airport,Small airport,,India,
RJNA,NKM,Nagoya Airport,Medium airport,Nagoya,Japan,
ROAH,OKA,Naha Airport,Large airport,Naha,Japan,
WAMH,NAH,Naha Airport,Medium airport,Tahuna-Sangihe Island,Indonesia,
WRKN,,Naikliu Airport,Small airport,Naikliu-Timor Island,Indonesia,
OIIM,,Naja Airport,Medium airport,Tehran,Iran,
RJCN,SHB,Nakashibetsu Airport,Medium airport,Nakashibetsu,Japan,
UBBN,NAJ,Nakhchivan Airport,Medium airport,Nakhchivan,Azerbaijan,
VTUW,KOP,Nakhon Phanom Airport,Medium airport,Nakhon Phanom,Thailand,
VTUQ,NAK,Nakhon Ratchasima Airport,Medium airport,Nakhon Ratchasima,Thailand,
VTPN,,Nakhon Sawan Airport,Small airport,,Thailand,
VTSF,NST,Nakhon Si Thammarat Airport,Medium airport,Nakhon Si Thammarat,Thailand,
VIBK,BKB,Nal Airport,Medium airport,Bikaner,India,
VTUZ,,Nam Phung Dam Airport,Small airport,Khon Kaen,Thailand,
UTFN,NMA,Namangan Airport,Small airport,Namangan,Uzbekistan,
WAPR,NAM,Namlea Airport,Small airport,Namlea-Buru Island,Indonesia,
VYNP,,Nampong Air Base,Medium airport,Myitkyina,Burma,
WAPG,NRE,Namrole Airport,Small airport,Namrole-Buru Island,Indonesia,
VYNS,NMS,Namsang Airport,Medium airport,Namsang,Burma,
VYNU,NMT,Namtu Airport,Small airport,Namtu,Burma,
VTCN,NNT,Nan Nakhon Airport,Medium airport,Nan,Thailand,
ZSCN,KHN,Nanchang Changbei International Airport,Medium airport,Nanchang,China,
ZUNC,NAO,Nanchong Airport,Small airport,Nanchong,China,
VAND,NDC,Nanded Airport,Medium airport,Nanded,India,
WIOG,NPO,Nanga Pinoh Airport,Medium airport,Nanga Pinoh-Borneo Island,Indonesia,
WAPK,BJK,Nangasuri Airport,Small airport,Maikoor Island,Indonesia,
ZSNJ,NKG,Nanjing Lukou Airport,Large airport,Nanjing,China,
RJBD,SHM,Nanki Shirahama Airport,Medium airport,Shirahama,Japan,
ZGNN,NNG,Nanning Wuxu Airport,Large airport,Nanning,China,
ZSWY,WUS,Nanping Wuyishan Airport,Medium airport,Wuyishan,China,
ZSNT,NTG,Nantong Airport,Small airport,Nantong,China,
ZHNY,NNY,Nanyang Jiangying Airport,Small airport,Nanyang,China,
VTSC,NAW,Narathiwat Airport,Medium airport,Narathiwat,Thailand,
RJAA,NRT,Narita International Airport,Large airport,Tokyo,Japan,
OENR,,Nariya Airport,Small airport,Nariya,Saudi Arabia,
UAFN,,Naryn Airport,Small airport,Naryn,Kyrgyzstan,
VAOZ,ISK,Nashik Airport,Medium airport,Nasik,India,
VYNM,,Naungmom Airport,Small airport,Naungmom,Burma,
UTSA,NVI,Navoi Airport,Small airport,Navoi,Uzbekistan,
VENP,,Nawapara Airport,Small airport,Nawapara,India,
VYNT,NYT,Naypyidaw Airport,Medium airport,Pyinmana,Burma,
USRN,NFG,Nefteyugansk Airport,Medium airport,Nefteyugansk,Russia,
OENG,EAM,Nejran Airport,Medium airport,Najran,Saudi Arabia,
VNNG,KEP,Nepalgunj Airport,Medium airport,Nepalgunj,Nepal,
VECC,CCU,Netaji Subhash Chandra Bose International Airport,Large airport,Kolkata,India,
LLNV,VTM,Nevatim Air Base,Medium airport,Beersheba,Israel,
LTAZ,NAV,Nevşehir Kapadokya Airport,Small airport,Nevşehir,Turkey,
RJCC,CTS,New Chitose Airport,Large airport,Chitose / Tomakomai,Japan,
ROIG,ISG,New Ishigaki Airport,Medium airport,Ishigaki,Japan,
OPIS,ISB,New Islamabad International Airport,Large airport,Islamabad,Pakistan,
VY02,,New Magway Airport,Small airport,Magway,Burma,
RJFG,TNE,New Tanegashima Airport,Medium airport,Tanegashima,Japan,
VONV,NVY,Neyveli Airport,Small airport,Neyveli,India,
ZUAL,NGQ,Ngari Gunsa Airport,Medium airport,Shiquanhe,China,
WARC,CPF,Ngloram Airport,Small airport,Tjepu-Java Island,Indonesia,
WADD,DPS,Ngurah Rai (Bali) International Airport,Large airport,Denpasar-Bali Island,Indonesia,
RJSN,KIJ,Niigata Airport,Medium airport,Niigata,Japan,
RJAN,,Niijima Airport,Small airport,Niijima Village,Japan,
UHPX,,Nikolskoye Airport,Small airport,Nikolskoye,Russia,
VA1N,,Nimach Airport,Small airport,,India,
ZSNB,NGB,Ningbo Lishe International Airport,Large airport,Ningbo,China,
ZPNL,NLH,Ninglang Luguhu Airport,Medium airport,Ninglang,China,
RPLL,MNL,Ninoy Aquino International Airport,Large airport,Manila,Philippines,
UIUN,,Nizhneangarsk Airport,Small airport,Nizhneangarsk,Russia,
USNN,NJC,Nizhnevartovsk Airport,Medium airport,Nizhnevartovsk,Russia,
UEBN,,Nizhneyansk Airport,Small airport,Nizhneyansk,Russia,
VVNB,HAN,Noi Bai International Airport,Large airport,Hanoi,Vietnam,
OP34,,Nok Kundi Airport,Small airport,Nok Kundi,Pakistan,
RP13,,Nonoc Airport,Small airport,,Philippines,
WAVD,DEX,Nop Goliat Airport,Small airport,Dekai - Yahukimo,Indonesia,
UOOO,NSK,Norilsk-Alykel Airport,Medium airport,Norilsk,Russia,
VELR,IXI,North Lakhimpur Airport,Medium airport,Lilabari,India,
RJ02,,North Pier Yokohama Heliport,Heliport,Yokohama,Japan,
OINN,NSH,Noshahr Airport,Medium airport,Noshahr,Iran,
RJNW,NTQ,Noto Airport,Medium airport,Wajima,Japan,
WARE,JBB,Noto Hadinegoro,Jember Airport,Jember,Indonesia,
UNCC,,Novosibirsk North Airport,Medium airport,Novosibirsk,Russia,
USMU,NUX,Novy Urengoy Airport,Medium airport,Novy Urengoy,Russia,
USRO,NOJ,Noyabrsk Airport,Medium airport,Noyabrsk,Russia,
VE36,,Nuagaon Airport,Small airport,,India,
UTNN,NCU,Nukus Airport,Small airport,Nukus,Uzbekistan,
WALF,NNX,Nunukan Airport,Small airport,Nunukan-Nunukan Island,Indonesia,
WICN,CJN,Nusawiru Airport,Small airport,Cijulang,Indonesia,
OPNK,NHS,Nushki Airport,Small airport,Nushki,Pakistan,
ZUNZ,LZY,Nyingchi Airport,Medium airport,Nyingchi,China,
RJFN,,Nyutabaru Air Base,Medium airport,Miyazaki,Japan,
WABR,OBD,Obano Airport,Small airport,Obano-Papua Island,Indonesia,
RJSR,ONJ,Odate Noshiro Airport,Medium airport,Odate,Japan,
WPOC,OEC,Oecussi Airport,Small airport,Oecussi-Ambeno,Timor-Leste,
WAPH,LAH,Oesman Sadik Airport,Small airport,Labuha-Halmahera Island,Indonesia,
RJFO,OIT,Oita Airport,Medium airport,Oita,Japan,
ROIT,,Oitakenou Airport,Small airport,Bungo-ono,Japan,
RJDO,,Ojika Airport,Small airport,Ojika,Japan,
WAKO,OKQ,Okaba Airport,Small airport,Okaba-Papua Island,Indonesia,
RJCO,OKD,Okadama Airport,Medium airport,Sapporo,Japan,
OPOK,,Okara Cantonment Airstrip,Small airport,Okara,Pakistan,
RJOB,OKJ,Okayama Airport,Medium airport,Okayama City,Japan,
UHSH,OHH,Okha Airport,Small airport,Okha,Russia,
UHOO,OHO,Okhotsk Airport,Medium airport,Okhotsk,Russia,
RJNO,OKI,Oki Airport,Medium airport,Okinoshima,Japan,
RJKB,OKE,Okierabu Airport,Medium airport,Okinoerabujima,Japan,
WAJO,OKL,Oksibil Airport,Small airport,Oksibil-Papua Island,Indonesia,
RJEO,OIR,Okushiri Airport,Medium airport,Okushiri Island,Japan,
OEKR,,Old Khurais Airport,Small airport,Khurais oil field,Saudi Arabia,
OIAJ,OMI,Omidiyeh Airport,Small airport,Omidiyeh,Iran,
UHMN,,Omolon Airport,Small airport,Omolon,Russia,
UNOO,OMS,Omsk Central Airport,Medium airport,Omsk,Russia,
UNOS,,Omsk Severny Airport,Medium airport,Omsk,Russia,
ZMUH,UNR,Öndörkhaan Airport,Small airport,Öndörkhaan,Mongolia,
VA1H,,Ondwa Airport,Small airport,,India,
ZKHM,RGO,Orang Airport,Medium airport,Hoemun-ri,North Korea,
ZBDS,DSN,Ordos Ejin Horo Airport,Medium airport,Ordos,China,
LTCB,OGU,Ordu Giresun Airport,Small airport,Ordu,Turkey,
OPOR,ORW,Ormara Airport,Small airport,Ormara Raik,Pakistan,
RPVO,OMC,Ormoc Airport,Medium airport,Ormoc City,Philippines,
OARG,URZ,Orūzgān Airport,Small airport,Orūzgān,Afghanistan,
RJOO,ITM,Osaka International Airport,Large airport,Osaka,Japan,
RKSO,OSN,Osan Air Base,Large airport,Pyeongtaek,South Korea,
UCFO,OSS,Osh Airport,Medium airport,Osh,Kyrgyzstan,
RJTO,OIM,Oshima Airport,Medium airport,Izu Oshima,Japan,
VGSY,ZYL,Osmany International Airport,Medium airport,Sylhet,Bangladesh,
VLOS,ODY,Oudomsay Airport,Small airport,Oudomsay,Laos,
OP15,,Ouzkani Airport,Small airport,Khandor,Pakistan,
LLOV,VDA,Ovda International Airport,Large airport,Eilat,Israel,
RJOZ,,Ozuki Air Field,Medium airport,Yamaguchi Prefecture,Japan,
RKRP,,Pa Ju (G 110) Airport,Small airport,Pa Ju,South Korea,
RKTB,,Paekado Helipad,Heliport,Paekado (Ul-do),South Korea,
RPMP,PAG,Pagadian Airport,Medium airport,Pagadian City,Philippines,
RP12,,Pagbilao Grande Island Airport,Small airport,,Philippines,
WATB,,Pahdameleda Airport,Small airport,Bajawa-Flores Island,Indonesia,
VYPU,PKK,Pakhokku Airport,Small airport,Pakhokku,Burma,
UT1Q,,Pakhtakor Airport,Small airport,Pakhtakor,Uzbekistan,
VLPS,PKZ,Pakse International Airport,Medium airport,Pakse,Laos,
UHPL,,Palana Airport,Medium airport,Palana,Russia,
RPLN,,Palanan Community Airport,Small airport,Palanan,Philippines,
VYPW,,Palaw Airport,Small airport,Palaw,Burma,
VYPE,,Paletwa Airport,Small airport,Paletwa,Burma,
LL59,,Palmahim Air Base,Small airport,Rishon LeZion,Israel,
OSPR,PMS,Palmyra Airport,Medium airport,Tadmur,Syria,
VNGK,GKH,Palungtar Airport,Small airport,Gorkha,Nepal,
RPUA,,Pamalican Airstrip,Small airport,Cuyo,Philippines,
WBKP,PAY,Pamol Airport,Small airport,Pamol,Malaysia,
VEPH,,Panagarh Airport,Medium airport,Durgapur,India,
WIPK,PGK,Pangkal Pinang (Depati Amir) Airport,Small airport,Pangkal Pinang-Palaubangka Island,Indonesia,
WIOP,PSU,Pangsuma Airport,Medium airport,Putussibau-Borneo Island,Indonesia,
OPPG,PJG,Panjgur Airport,Medium airport,Panjgur,Pakistan,
RK6K,,Panmunjom Helipad (H-128),Heliport,Panmunjom,South Korea,
OP37,,Pano Aqil Southeast Airport,Small airport,Pano Aqil,Pakistan,
VIPT,PGH,Pantnagar Airport,Medium airport,Pantnagar,India,
LCPH,PFO,Paphos International Airport,Large airport,Paphos,Cyprus,
OPPC,PAJ,Parachinar Airport,Small airport,Parachinar,Pakistan,
VQPR,PBH,Paro Airport,Medium airport,Paro,Bhutan,
OITP,PFQ,Parsabade Moghan Airport,Small airport,Parsabad,Iran,
RP15,,Pasar Airport,Small airport,,Philippines,
VEPG,IXT,Pasighat Airport,Small airport,Pasighat,India,
WIDE,PPR,Pasir Pangaraan Airport,Small airport,Pasir Pengarayan-Sumatra Island,Indonesia,
OPPI,PSI,Pasni Airport,Medium airport,Pasni,Pakistan,
VIPK,IXP,Pathankot Airport,Medium airport,Pathankot,India,
VYPN,BSX,Pathein Airport,Small airport,Pathein,Burma,
VIPL,,Patiala Airport,Small airport,,India,
VTSK,PAN,Pattani Airport,Medium airport,Pattani,Thailand,
VTBF,PYX,Pattaya Airpark,Small airport,Pattaya,Thailand,
WAPP,AMQ,Pattimura Airport,Medium airport,Ambon,Indonesia,
OK2A,,Patton Army Heliport,Heliport,Camp Arifjan,Kuwait,
OK2A,,Patton Army Heliport,Heliport,Camp Arifjan,Kuwait,
VYPK,PAU,Pauk Airport,Small airport,Pauk,Burma,
UASP,PWQ,Pavlodar Airport,Medium airport,Pavlodar,Kazakhstan,
WSAP,QPG,Paya Lebar Air Base,Medium airport,Paya Lebar,Singapore,
OIIP,PYK,Payam International Airport,Medium airport,Karaj,Iran,
VYPI,,Pearl Island Airport,Small airport,Pearl Island,Burma,
WIIR,,Pelabuhan Ratu Airport,Small airport,Pelabuhan Ratu-Java Island,Indonesia,
WIMR,,Pematang Siantar,Small airport,Pematang Siantar-Sumatra Island,Indonesia,
WMKP,PEN,Penang International Airport,Medium airport,Penang,Malaysia,
WIPQ,PDO,Pendopo Airport,Medium airport,Talang Gudang-Sumatra Island,Indonesia,
WICD,CBN,Penggung Airport,Small airport,Cirebon-Java Island,Indonesia,
OIBP,PGU,Persian Gulf International Airport,Medium airport,Asalouyeh,Iran,
OPPS,PEW,Peshawar International Airport,Medium airport,Peshawar,Pakistan,
UACP,PPK,Petropavlosk South Airport,Medium airport,Petropavlosk,Kazakhstan,
UHMP,PWE,Pevek Airport,Medium airport,Pevek,Russia,
VA2A,,Phalodi Airport,Small airport,,India,
VVPR,PHA,Phan Rang Airport,Small airport,Phan Rang,Vietnam,
VVPT,PHH,Phan Thiet Airport,Small airport,Phan Thiet,Vietnam,
VNPL,PPL,Phaplu Airport,Small airport,Phaplu,Nepal,
VTCB,,Phayao Ban Chiang Kham Airport,Small airport,Phayao Ban Chiang Kham,Thailand,
VTPB,PHY,Phetchabun Airport,Medium airport,Phetchabun,Thailand,
VTPP,PHS,Phitsanulok Airport,Medium airport,Phitsanulok,Thailand,
VDPP,PNH,Phnom Penh International Airport,Large airport,Phnom Penh,Cambodia,
VLPV,,Phonesavanh Airport,Small airport,,Laos,
VYPB,,Phonngbyin Airport,Small airport,Phonngbyin,Burma,
VTPR,,Photharam Airport,Small airport,Photharam,Thailand,
VTCP,PRH,Phrae Airport,Medium airport,Phrae,Thailand,
VVPB,HUI,Phu Bai Airport,Medium airport,Hue,Vietnam,
VVPC,UIH,Phu Cat Airport,Medium airport,Quy Nohn,Vietnam,
VVPQ,PQC,Phu Quoc International Airport,Medium airport,Phu Quoc Island,Vietnam,
VTSP,HKT,Phuket International Airport,Large airport,Phuket,Thailand,
VI70,,Pilani New Airport,Small airport,,India,
RPLA,,Pinamalayan Airport,Small airport,,Philippines,
WIBD,DUM,Pinang Kampai Airport,Medium airport,Dumai-Sumatra Island,Indonesia,
RCSQ,PIF,Pingtung North Airport,Medium airport,Pingtung,Taiwan,
RCDC,,Pingtung South Airport,Medium airport,Pingtung,Taiwan,
VYPL,,Pinlebu Airport,Small airport,Pinlebu,Burma,
OPPN,,Pishin Airport,Small airport,Pishin,Pakistan,
VIDF,,Pithorgarh Airport,Small airport,,India,
WAMR,OTI,Pitu Airport,Medium airport,Gotalalamo-Morotai Island,Indonesia,
RPUX,,Plaridel Airport,Small airport,Plaridel,Philippines,
UHWP,TLY,Plastun Airport,Small airport,Plastun,Russia,
VVPK,PXU,Pleiku Airport,Medium airport,Pleiku,Vietnam,
USTL,,Plekhanovo Airport,Small airport,Tyumen,Russia,
RKRO,QJP,Pocheon G 217 Airport,Small airport,Pocheon,South Korea,
RKTH,KPO,Pohang Airport (G-815/K-3),Medium airport,Pohang,South Korea,
VNPK,PKR,Pokhara Airport,Medium airport,Pokhara,Nepal,
UERP,PYJ,Polyarny Airport,Medium airport,Yakutia,Russia,
WAWP,PUM,Pomala Airport,Small airport,Kolaka,Indonesia,
VOPC,PNY,Pondicherry Airport,Medium airport,Pondicherry,India,
WIHP,PCB,Pondok Cabe Air Base,Small airport,Jakarta,Indonesia,
WAWL,,Ponggaluku Airport,Small airport,Wawooru-Celebes Island,Indonesia,
WAWT,TTR,Pongtiku Airport,Small airport,Makale,Indonesia,
VAPR,PBD,Porbandar Airport,Medium airport,Porbandar,India,
LLPO,,Poriya Medical Center,Heliport,,Israel,
UGSP,,Poti East Airport,Small airport,Poti,Georgia,
VTBP,,Prachuap Airport,Small airport,,Thailand,
VTBN,,Prachuap Khiri Khan Airport,Small airport,Prachuap Khiri Khan,Thailand,
WPDL,DIL,Presidente Nicolau Lobato International Airport,Medium airport,Dili,Timor-Leste,
OEYN,YNB,Prince Abdulmohsin Bin Abdulaziz Airport,Medium airport,Yanbu,Saudi Arabia,
OJHF,,Prince Hassan Air Base,Small airport,,Jordan,
OEMA,MED,Prince Mohammad Bin Abdulaziz Airport,Large airport,Medina,Saudi Arabia,
OEPS,AKH,Prince Sultan Air Base,Medium airport,Al Kharj,Saudi Arabia,
ZPSM,SYM,Pu'er Simao Airport,Small airport,Pu'er,China,
ZLPC,,Pucheng Neifu Airport,Small airport,Pucheng,China,
RPVP,PPS,Puerto Princesa Airport,Medium airport,Puerto Princesa City,Philippines,
WMPA,PKG,Pulau Pangkor Airport,Small airport,Pangkor Island,Malaysia,
WIHG,PPJ,Pulau Panjang Airport,Small airport,Jakarta,Indonesia,
WMBT,TOD,Pulau Tioman Airport,Medium airport,Pulau Tioman,Malaysia,
OEPJ,,Pump Station 10 Airport,Small airport,,Saudi Arabia,
OEPC,,Pump Station 3 Airport,Small airport,,Saudi Arabia,
OEPF,,Pump Station 6 Airport,Small airport,,Saudi Arabia,
OEPI,,Pump Station 9 Airport,Small airport,,Saudi Arabia,
VAPO,PNQ,Pune Airport,Medium airport,Pune,India,
VEPU,,Purnea Airport,Small airport,,India,
WICP,PWL,Purwokerto Airport,Small airport,Purwokerto-Java Island,Indonesia,
VYPT,PBU,Putao Airport,Medium airport,Putao,Burma,
VYPY,PRU,Pyay Airport,Small airport,Pye,Burma,
ZKPY,FNJ,Pyongyang Sunan International Airport,Medium airport,Pyongyang,North Korea,
RKSV,,Pyoripsan Heliport,Heliport,Pyoripsan,South Korea,
OAQN,LQN,Qala-I-Naw Airport,Small airport,Qala-I-Naw,Afghanistan,
ZUBD,BPX,Qamdo Bangda Airport,Medium airport,Bangda,China,
OOGB,RNM,Qarn Alam Airport,Small airport,Ghaba,Oman,
OMAQ,,Qarnayn Airport,Small airport,Qarnayn Island,United Arab Emirates,
OPQS,,Qasim Airport,Small airport,Qasim,Pakistan,
ORQW,RQW,Qayyarah West Airport,Medium airport,Qayyarah,Iraq,
OIIK,GZW,Qazvin Airport,Medium airport,Qazvin,Iran,
OIKQ,,Dayrestan Airport,Medium airport,Dayrestan,Iran,
ZUQJ,JIQ,Qianjiang Wulingshan Airport,Medium airport,Qianjiang,China,
ZWCM,IQM,Qiemo Yudu Airport,Medium airport,Qiemo,China,
ZLQY,IQN,Qingyang Airport,Medium airport,Qingyang,China,
