ICAO,IATA,Name,Type,Municipality,Country,
ZMKD,HVD,Khovd Airport,Medium airport,Khovd,Mongolia,
VEKW,IXN,Khowai Airport,Small airport,Khowai,India,
OITK,KHY,Khoy Airport,Small airport,Khoy,Iran,
UTDL,LBD,Khudzhand Airport,Medium airport,Khudzhand,Tajikistan,
ZMHU,HJT,Khujirt Airport,Small airport,Khujirt,Mongolia,
VTPY,,Khunan Phumipol Airport,Small airport,,Thailand,
OEKN,,Khurais Airport,Small airport,Khurais oil field,Saudi Arabia,
OPKH,KDD,Khuzdar Airport,Small airport,Khuzdar,Pakistan,
OAHN,KWH,Khwahan Airport,Small airport,Khwahan,Afghanistan,
RJKI,KKX,Kikai Airport,Medium airport,Kikai,Japan,
OE53,,King Abdul Aziz Military Academy Airport,Small airport,,Saudi Arabia,
OEDR,DHA,King Abdulaziz Air Base,Large airport,Dhahran,Saudi Arabia,
OEJN,JED,King Abdulaziz International Airport,Large airport,Jeddah,Saudi Arabia,
OEJL,,King Abdulaziz Naval Base,Small airport,Jubail,Saudi Arabia,
OEDF,DMM,King Fahd International Airport,Large airport,Ad Dammam,Saudi Arabia,
OEJF,,King Faisal Naval Base,Medium airport,Jeddah,Saudi Arabia,
OJMF,OMF,King Hussein Air College,Small airport,Mafraq,Jordan,
OEKM,KMX,King Khaled Air Base,Medium airport,Khamis Mushait,Saudi Arabia,
OERK,RUH,King Khaled International Airport,Large airport,Riyadh,Saudi Arabia,
OEKK,KMC,King Khaled Military City Airport,Medium airport,King Khaled Military City,Saudi Arabia,
OEDM,DWD,King Salman Abdulaziz Airport,Medium airport,Dawadmi,Saudi Arabia,
LCRE,,Kingsfield Air Base,Small airport,,Cyprus,
RCBS,KNH,Kinmen Airport,Large airport,Shang-I,Taiwan,
UIKK,KCK,Kirensk Airport,Small airport,Kirensk,Russia,
ORKK,KIK,Kirkuk Air Base,Medium airport,Kirkuk,Iraq,
LLKS,KSW,Kiryat Shmona Airport,Small airport,Kiryat Shmona,Israel,
WAPQ,,Kisar Airport,Small airport,Kisar-Kisar Island,Indonesia,
WIML,,Kisaran Airport,Small airport,Kisaran-Sumatra Island,Indonesia,
RJTK,,Kisarazu Air Field,Medium airport,Kisarazu,Japan,
OIBK,KIH,Kish International Airport,Medium airport,Kish Island,Iran,
VIKG,KQH,Kishangarh Airport,Medium airport,Ajmer,India,
RORK,KTD,Kitadaito Airport,Medium airport,Kitadaitōjima,Japan,
RJFR,KKJ,Kitakyūshū Airport,Medium airport,Kitakyūshū,Japan,
WAJK,,Kiwirok Airstrip,Small airport,Kiwirok,Indonesia,
WMAP,,Kluang Airport,Medium airport,Kluang,Malaysia,
RJBE,UKB,Kobe Airport,Medium airport,Kobe,Japan,
WA98,,Kobok Airport,Small airport,Modjid-Celebes Island,Indonesia,
RJOK,KCZ,Kōchi Ryōma Airport,Medium airport,Nankoku,Japan,
RJOK,KCZ,Kōchi Ryōma Airport,Medium airport,Nankoku,Japan,
UNKI,,Kodinsk Airport,Small airport,,Russia,
USRK,KGP,Kogalym International Airport,Medium airport,Kogalym,Russia,
VCCK,KCT,Koggala Airport,Medium airport,Galle,Sri Lanka,
OPKT,OHT,Kohat Airport,Small airport,Kohat,Pakistan,
RJBK,,Kohnan Airport,Small airport,,Japan,
