ICAO,IATA,Name,Type,Municipality,Country
SSWK,,Guaiacuruzinho Airport,Small airport,Santa Mariana,Brazil
SSGY,QGA,Guaíra Airport,Small airport,Guaíra,Brazil
SEGZ,,Gualaquiza Airport,Small airport,Santiago,Ecuador
SEGE,,Guale Airport,Small airport,Guale,Ecuador
SNGI,GNM,Guanambi Airport,Small airport,Guanambi,Brazil
SNGH,,Guanhães Airport,Small airport,Guanhães,Brazil
SIWI,,Guapirama Airport,Small airport,Diamantino,Brazil
SSGR,0,Guaporé Airport,Small airport,Guaporé,Brazil
SSNM,,Guarantã Airport,Small airport,Guarantã Do Norte,Brazil
SNGA,GUZ,Guarapari Airport,Small airport,Guarapari,Brazil
SDGR,,Guararapes Airport,Small airport,Guararapes,Brazil
SJIO,,Guararapes Airport,Small airport,Santa Cecília,Brazil
SSGB,,Guaratuba Airport,Small airport,Guaratuba,Brazil
SVMS,,Guasimal Airport,Small airport,,Venezuela
SVGT,,Guasipati Airport,Small airport,,Venezuela
SIAB,,Guatambu São Paulo Airport,Small airport,São Paulo,Brazil
SNWA,,Guaxuma Airport,Small airport,Coruripe,Brazil
SNGX,,Guaxupé Airport,Small airport,Guaxupé,Brazil
SKGY,,Guaymaral Airport,Small airport,Chía,Colombia
SPGP,,Güeppi­ Airport,Small airport,,Perú
SVGP,,Guesipo Airport,Small airport,,Venezuela
SUGN,,Guichón Airfield,Small airport,Guichón,Uruguay
SLGP,,Guirapembi Airport,Small airport,Cordillera,Bolivia
SNGU,,Gurupá Airport,Small airport,Gurupá,Brazil
SWGI,GRP,Gurupi Airport,Small airport,Gurupi,Brazil
SKAG,,Hacaritama Airport,Small airport,Aguachica,Colombia
SVHL,,Hacienda Carutal Airport,Small airport,,Venezuela
SECM,,Hacienda Clementina Airport,Small airport,Pozuelos,Ecuador
SVHC,,Hacienda El Caimito Airport,Small airport,,Venezuela
SVHD,,Hacienda El Calvario Airport,Small airport,,Venezuela
SVHP,,Hacienda El Paso Airport,Small airport,Las Vegas del Tuy,Venezuela
SPVA,,Hacienda El Valor Airport,Small airport,El Valor,Perú
SELJ,,Hacienda La Julia Airport,Small airport,Julia,Ecuador
SVPS,,Hacienda La Pastora Airport,Small airport,San Pedro,Venezuela
SVMJ,,Hacienda Las Lomas Airport,Small airport,,Venezuela
SCHL,,Hacienda Lipangue Airport,Small airport,Lampa,Chile
SVRX,,Hacienda Río Yaza Airport,Small airport,,Venezuela
SVSS,,Hacienda San José Airport,Small airport,San José de Trujillo,Venezuela
SVSL,,Hacienda Santa Elena de Mirand Airport,Small airport,,Venezuela
SVFE,,Hacienda Santa Fé Airport,Small airport,,Venezuela
SJLC,,Hakoma Airport,Small airport,Alto Alegre,Brazil
SJLE,,Halikato-U Airport,Small airport,Alto Alegre,Brazil
SJKI,,Hangar Comandante Salomão Alcolumbre Airport,Small airport,Macapá,Brazil
SJVY,,Haras Bela Vista Airport,Small airport,São Miguel Do Tocantins,Brazil
SSWL,,Haras Fazenda Reunidas Sobral Airport,Small airport,Santa Isabel Do Pará,Brazil
SVHA,,Hato Altamira de Bolívar Airport,Small airport,,Venezuela
SVHT,,Hato Altamira de Monagas Airport,Small airport,,Venezuela
SKHC,HTZ,Hato Corozal Airport,Small airport,Hato Corozal,Colombia
SVBW,,Hato El Burro Airport,Small airport,,Venezuela
SVIM,,Hato El Caimán Airport,Small airport,,Venezuela
SVHR,,Hato El Carito Airport,Small airport,Los Marimares,Venezuela
SVPO,,Hato El Porvenir Airport,Small airport,,Venezuela
SVOO,,Hato El Rosero Airport,Small airport,,Venezuela
SVHS,,Hato El Sesenta Airport,Small airport,,Venezuela
SVHX,,Hato La Candelaria Airport,Small airport,,Venezuela
SVHN,,Hato La Chaconera Airport,Small airport,,Venezuela
SVHK,,Hato la Guaca Airport,Small airport,,Venezuela
SVJU,,Hato La Laguna del Junco Airport,Small airport,,Venezuela
SVJI,,Hato La Lejanía Airport,Small airport,,Venezuela
SVPD,,Hato La Ponderosa Airport,Small airport,,Venezuela
SVRM,,Hato La Romereña Airport,Small airport,,Venezuela
SVVR,,Hato La Vergareña Airport,Small airport,,Venezuela
SVHY,,Hato Las Yeguas Airport,Small airport,,Venezuela
SVHM,,Hato Los Mamones Airport,Small airport,Hato Los Mamomes,Venezuela
SVLK,,Hato Macolla Airport,Small airport,,Venezuela
SVNK,,Hato Mikitole Airport,Small airport,,Venezuela
SVDX,,Hato Puga Airport,Small airport,,Venezuela
SVHE,,Hato Rancho Alegre Airport,Small airport,,Venezuela
SVXF,,Hato Santa Clara Airport,Small airport,,Venezuela
SVBF,,Hato Urañon Airport,Small airport,,Venezuela
SVDV,,Hato Veladero Airport,Small airport,,Venezuela
SVBJ,,Hato Viejo Airport,Small airport,,Venezuela
SDMG,,Haxiu Airport,Small airport,Alto Alegre,Brazil
SIYS,,Helibrás Airport,Small airport,Itajubá,Brazil
SSLN,LOI,Helmuth Baungarten Airport,Small airport,Lontras,Brazil
SMHA,,Henri Alwies Airstrip,Small airport,,Suriname
SNHP,,Herbert Mata Pires Airport,Small airport,Itaberaba,Brazil
SNXN,,Heringer Airport,Small airport,Balsas,Brazil
SWGF,,Hidrelétrica de Jirau Airport,Small airport,Porto Velho,Brazil
SVHG,HGE,Higuerote Airport,Small airport,Higuerote,Venezuela
SJLF,,Homoxi Airport,Small airport,Iracema,Brazil
SWYX,,Horizonte Azul Airport,Small airport,SWYX,Brazil
SCVB,,Hospital Villa Baviera Airport,Small airport,Parral,Chile
SWWF,,Hotel Baiazinha Airport,Small airport,Cáceres,Brazil
SBTC,UNA,Hotel Transamérica Airport,Small airport,Una,Brazil
SLHJ,BVK,Huacaraje Airport,Small airport,Itenes,Bolivia
SLHC,,Huacareta Airport,Small airport,H. Silez,Bolivia
SCHW,,Hualaihué Airport,Small airport,Hualaihue,Chile
SPBL,BLP,Huallaga Airport,Small airport,Bellavista,Perú
SPUC,,Huamachuco Airport,Small airport,Huamachuco,Perú
SPPP,,Huanacopampa Airport,Small airport,Huanacopampa,Perú
SPAB,,Huancabamba Airport,Small airport,Huancabamba,Perú
SCVN,,Huancara Airport,Small airport,Vicuña,Chile
SPHU,,Huancayo Airport,Small airport,Huancayo,Perú
SPHV,,Huánuco Viejo Airport,Small airport,Huánuco Viejo,Perú
SCOY,,Huayanay Airport,Small airport,Ovalle,Chile
SCHK,,Hueicolla Airport,Small airport,La Union,Chile
SWHT,HUW,Humaitá Airport,Small airport,Humaitá,Brazil
SBJA,JJG,Humberto Ghizzo Bortoluzzi Regional Airport,Small airport,Jaguaruna,Brazil
SSHG,,Hyran Garcete Airport,Small airport,Antônio João,Brazil
SWIA,0,Iaciara Airport,Small airport,Iaciara,Brazil
SBYA,,Iauaretê Airport,Small airport,São Gabriel Da Cachoeira,Brazil
SSAB,,Ibaiti Airport,Small airport,Ibaiti,Brazil
SDUR,,Iberá Airport,Small airport,Ponta Grossa,Brazil
SNIY,,Ibimirim Airport,Small airport,Ibimirim,Brazil
SJVC,,Ibiporanga da Felicidade Airport,Small airport,Tanabi,Brazil
SSIR,,Ibirubá Airport,Small airport,Ibirubá,Brazil
SDIG,,Ibitinga Airport,Small airport,Ibitinga,Brazil
SLIR,,Ibori Airport,Small airport,Itenes,Bolivia
SNIT,,Ibotirama Airport,Small airport,Ibotirama,Brazil
SPIA,,Ica Airport,Small airport,Ica,Perú
SSMW,,Ica Airport,Small airport,Peruibe,Brazil
SVIC,ICA,Icabarú Airport,Small airport,,Venezuela
SCQI,,Icalma Airport,Small airport,Lonquimay,Chile
SDLJ,,Igarapé Bahia Airport,Small airport,Parauapebas,Brazil
SNIA,,Igarapé-Açu Airport,Small airport,Igarapé-Açu,Brazil
SNIG,QIG,Iguatu Airport,Small airport,Iguatu,Brazil
SSIJ,IJU,Ijuí Airport,Small airport,Ijuí,Brazil
SIYY,,Ilha do Caracará Airport,Small airport,Poconé,Brazil
SJNS,,Ilha dos Macacos Airport,Small airport,Paranaíta,Brazil
SILI,,Ilha dos Porcos Grandes Airport,Small airport,Angra Dos Reis,Brazil
SYIB,IMB,Imbaimadai Airport,Small airport,Imbaimadai,Guyana
SPRL,,Imperial Airport,Small airport,Imperial,Perú
SIZX,JUA,Inácio Luís do Nascimento Airport,Small airport,Juara,Brazil
SPIN,,Iñapari Airport,Small airport,Iñapari,Perú
SSKO,,Independência Airport,Small airport,Anastácio,Brazil
SIIN,,Independência Airport,Small airport,Itaituba,Brazil
SSID,,Independência Airport,Small airport,Nova Andradina,Brazil
SSHT,,Ingazeira Airport,Small airport,Alta Floresta,Brazil
SLIG,,Inglaterra Airport,Small airport,Ballivian,Bolivia
SLIY,,Intiraymi Airport,Small airport,La Joya,Bolivia
SPNT,,Intuto Airport,Small airport,Intuto,Perú
SWIP,,Ipameri Airport,Small airport,Ipameri,Brazil
SNIU,IPU,Ipiaú Airport,Small airport,Ipiaú,Brazil
SWII,IPG,Ipiranga Airport,Small airport,Santo Antônio Do Içá,Brazil
SNIC,IRE,Irecê Airport,Small airport,Irecê,Brazil
SJBK,,Iriri Airport,Small airport,Altamira,Brazil
SIDG,,Irmãos Gonçalves Airport,Small airport,Jaru,Brazil
