ICAO,IATA,Name,Type,Municipality,Country,
FABB,,Brakpan Airport,Small airport,Brakpan,South Africa,
FABL,BFN,Bram Fischer International Airport,Medium airport,Bloemfontain,South Africa,
FABV,,Brandviei Airport,Small airport,Brandviei,South Africa,
FABR,,Barberton Airport,Medium airport,Umjindi (Barberton),South Africa,
FEFR,BIV,Bria Airport,Small airport,Bria,Central African Republic,
FABS,,Brits Airport,Small airport,Brits,South Africa,
HLFL,,Bu Attifel Airport,Small airport,,Libya,
GGBU,BQE,Bubaque Airport,Small airport,Bubaque,Guinea-Bissau,
GLBU,UCN,Buchanan Airport,Small airport,Buchanan,Liberia,
FVCZ,BFO,Buffalo Range Airport,Medium airport,Chiredzi,Zimbabwe,
HKSB,UAS,Buffalo Spring,Small airport,Samburu,Kenya,
FABG,,Buffelshoek Airport,Small airport,,South Africa,
HUGG,,Bugungu Airport,Small airport,,Uganda,
HBBA,BJM,Bujumbura International Airport,Medium airport,Bujumbura,Burundi,
FZMA,BKY,Bukavu Kavumu Airport,Medium airport,Bukavu,Congo (Kinshasa),
FZRE,,Bukena Airport,Small airport,Bukena,Congo (Kinshasa),
HTBU,BKZ,Bukoba Airport,Small airport,Bukoba,Tanzania,
FZUL,,Bulape Airport,Small airport,Bulape,Congo (Kinshasa),
FZMK,,Bulongo Kigogo Airport,Small airport,Bulongo Kigogo,Congo (Kinshasa),
FABU,UTE,Bultfontein Airport,Small airport,Bultfontein,South Africa,
HTBN,,Bulyanhulu Airport,Small airport,Bubada,Tanzania,
FZFU,BMB,Bumbar Airport,Small airport,Bumbar,Congo (Kinshasa),
FVBM,BZH,Bumi Airport,Small airport,Bumi,Zimbabwe,
HUBU,,Bundibugyo Airport,Small airport,Bundibugyo,Uganda,
FZKA,BUX,Bunia Airport,Medium airport,Orientale Province,Congo (Kinshasa),
HKBR,,Bura East Airport,Small airport,Bura,Kenya,
HCMV,BUO,Burao Airport,Small airport,Burao,Somalia,
FABD,,Burghersdorp Airport,Small airport,Burgersdorp,South Africa,
FZCR,,Busala Airport,Small airport,Busala,Congo (Kinshasa),
FABK,,Bushmans Kloof Airport,Small airport,Bushman's Kloof,South Africa,
FZKJ,BZU,Buta Zega Airport,Medium airport,Buta,Congo (Kinshasa),
HRYI,BTQ,Butare Airport,Small airport,Butare,Rwanda,
FVCC,,C.C. Strip,Small airport,C.C. Strip,Zimbabwe,
FNCA,CAB,Cabinda Airport,Medium airport,Cabinda,Angola,
FN19,,Cabo Ledo Airport,Small airport,Cabo Ledo,Angola,
FNCC,,Cacolo Airport,Small airport,Cacolo,Angola,
DBBB,COO,Cadjehoun Airport,Medium airport,Cotonou,Benin,
FNCF,CFF,Cafunfo Airport,Small airport,Cafunfo,Angola,
FN17,,Cahama Airport,Small airport,Cahama,Angola,
HECA,CAI,Cairo International Airport,Large airport,Cairo,Egypt,
HECW,CWE,Cairo West Airport,Medium airport,El Cairo,Egypt,
FACG,,Caledon Airfield,Small airport,Caledon,South Africa,
FACV,,Calvinia Airport,Small airport,Calvinia,South Africa,
FVCM,,Cam+Motor Airport,Small airport,Cam+Motor,Zimbabwe,
FNCM,,Camabatela Airport,Small airport,Camabatela,Angola,
FNCX,CXM,Camaxilo Airport,Small airport,Camaxilo,Angola,
FNCB,,Camembe Airport,Small airport,Camembe,Angola,
FBCO,,Camp Okavango Airport,Small airport,Camp Okavango,Botswana,
DBBC,,Cana Airport,Small airport,Bohicon,Benin,
HCMC,CXN,Candala Airport,Small airport,Candala,Somalia,
FYXX,,Canon Lodge Airport,Small airport,,Namibia,
GOGS,CSK,Cap Skirring Airport,Medium airport,Cap Skirring,Senegal,
FACF,,Cap St Francis Airport,Small airport,St Francis,South Africa,
FNCP,KNP,Capanda Airport,Small airport,Capanda,Angola,
FAWT,,Cape Blue Mine Airport,Small airport,Westerberg,South Africa,
