ICAO,IATA,Name,Type,Municipality,Country,
FZWC,GDJ,Gandajika Airport,Small airport,Gandajika,Congo (Kinshasa),
GAGO,GAQ,Gao Airport,Medium airport,Gao,Mali,
DFOG,XGA,Gaoua Airport,Small airport,Gaoua,Burkina Faso,
HKGT,,Garba Tula Airport,Small airport,Garba Tula,Kenya,
HLGD,SRX,Gardabya Airport,Medium airport,Sirt,Libya,
HCMG,GSR,Gardo Airport,Small airport,Gardo,Somalia,
FAHV,,Gariep Dam Airport,Small airport,Hendrik Verwoerd dam,South Africa,
HKGA,GAS,Garissa Airport,Small airport,Garissa,Kenya,
FKKR,GOU,Garoua International Airport,Medium airport,Garoua,Cameroon,
HCMW,GGR,Garowe Airport,Small airport,Garowe,Somalia,
FVGT,,Gaths Mine Airport,Small airport,Gaths Mine,Zimbabwe,
DRRG,,Gaya Airport,Small airport,Gaya,Niger,
FZFV,,Gbado Airport,Small airport,Gbado,Congo (Kinshasa),
FZFD,BDT,Gbadolite Airport,Medium airport,Gbadolite,Congo (Kinshasa),
GFGK,GBK,Gbangbatok Airport,Small airport,Gbangbatok,Sierra Leone,
GUGO,,Gbenko Airport,Small airport,Banankoro,Guinea,
HAGL,GLC,Geladi Airport,Small airport,Geladi,Ethiopia,
FZFK,GMA,Gemena Airport,Medium airport,Gemena,Congo (Kinshasa),
HSGN,EGN,Geneina Airport,Small airport,Geneina,Sudan,
FAGG,GRJ,George Airport,Large airport,George,South Africa,
HLTD,LTD,Ghadames East Airport,Medium airport,Ghadames,Libya,
FBGZ,GNZ,Ghanzi Airport,Small airport,Ghanzi,Botswana,
HLGT,GHT,Ghat Airport,Medium airport,Ghat,Libya,
HAGH,GNN,Ghinnir Airport,Small airport,Ghinnir,Ethiopia,
DAOV,MUW,Ghriss Airport,Medium airport,Mascara,Algeria,
FAGS,,Giants Castle Airport,Small airport,Giant'S Castle Game Reserve,South Africa,
FAGJ,,Gifvlei Airport,Small airport,Gifvlei,South Africa,
HBBK,,Gihohi Airport,Small airport,Gihohi,Burundi,
HRYG,GYI,Gisenyi Airport,Medium airport,Gisenyi,Rwanda,
HBBE,GID,Gitega Airport,Small airport,Gitega,Burundi,
FAGI,GIY,Giyani Airport,Small airport,Giyani,South Africa,
HEEM,,Giza Embaba Airport,Small airport,Cairo,Egypt,
FAGH,,Glen Grey Airport,Small airport,Emmaus,South Africa,
FYGB,GOG,Gobabis Airport,Small airport,Gobabis,Namibia,
FYGC,,Gochas Airstrip,Small airport,Gochas,Namibia,
HAGO,GDE,Gode Airport,Medium airport,Gode,Ethiopia,
HSGO,,Gogrial Airport,Small airport,Gogrial,Sudan,
FCMG,,Gokango Airport,Small airport,Gokango,Congo (Brazzaville),
FVGO,,Gokwe Airport,Small airport,,Zimbabwe,
HTGP,,Golden Pride Mines Airport,Small airport,,Tanzania,
FZNA,GOM,Goma International Airport,Medium airport,Goma,Congo (Kinshasa),
DNGO,GMO,Gombe Lawanti International Airport,Medium airport,Gombe,Nigeria,
FVGB,,Gombera Airport,Small airport,Gombera Ranch,Zimbabwe,
HAGN,GDQ,Gonder Airport,Medium airport,Gondar,Ethiopia,
FBGH,,Goodhope Airport,Small airport,Goodhope,Botswana,
FBGP,,Gope Airport,Small airport,Gope,Botswana,
FEGL,GDI,Gordil Airport,Small airport,Melle,Central African Republic,
HAGR,GOR,Gore Airport,Small airport,Gore,Ethiopia,
DFEG,XGG,Gorom-Gorom Airport,Small airport,Gorom-Gorom,Burkina Faso,
GMAG,GLN,Goulimime Airport,Small airport,Goulimime,Morocco,
GAGM,GUD,Goundam Airport,Small airport,Goundam,Mali,
DFCU,,Gourcy Airport,Small airport,Gourcy,Burkina Faso,
DRZG,,Goure Airport,Small airport,Goure,Niger,
FAGO,,Gowrie Airport,Small airport,,South Africa,
FZFJ,,Goyongo Airport,Small airport,Goyongo,Congo (Kinshasa),
FTTG,,Goz-Beida Airport,Small airport,Goz-Beida,Chad,
FAGR,,Graaff Reinet Airport,Small airport,Graaff-Reinet,South Africa,
FAGT,,Grahamstown Airport,Small airport,Grahamstown,South Africa,
FAGC,GCJ,Grand Central Airport,Medium airport,Midrand,South Africa,
FVGR,,Grand Reef Airport,Small airport,Mutare,Zimbabwe,
FAGA,,Grange Airport,Small airport,Umzimkulu,South Africa,
FBGS,,Grassland Airport,Small airport,Grassland Lodge,Botswana,
FAGV,,Gravelotte Airport,Small airport,Gravelotte,South Africa,
FYGV,,Gravenstein Prv Airport,Small airport,,Namibia,
GLGE,SNI,Greenville Sinoe Airport,Small airport,Greenville,Liberia,
FAGY,,Greytown Airport,Small airport,Greytown,South Africa,
FEGI,,Grimari Airport,Small airport,Grimari,Central African Republic,
FAGL,,Groblersdal Kob Airport,Small airport,Groblersdal,South Africa,
FYGF,GFY,Grootfontein Airport,Medium airport,Grootfontein,Namibia,
FBGY,,Grundy's Airport,Small airport,Grundy's Lodge,Botswana,
FBGD,,Gudigwa Airport,Small airport,Gudigwa,Botswana,
DAUO,ELU,Guemar Airport,Medium airport,Guemar,Algeria,
DIGL,GGO,Guiglo Airport,Small airport,Guiglo,Côte d'Ivoire,
HUGU,ULU,Gulu Airport,Medium airport,Gulu,Uganda,
FBGU,,Guma Airport,Small airport,Guma,Botswana,
FBGM,,Gumare Airport,Small airport,Gumare,Botswana,
DNGU,,Gusau Airport,Medium airport,Gusau,Nigeria,
FZFW,,Gwaka Airport,Small airport,Gwaka,Congo (Kinshasa),
FVGD,,Gwanda Airport,Small airport,Gwanda,Zimbabwe,
FVGW,,Gweru Airport,Small airport,Gweru,Zimbabwe,
FBGW,,Gweta Airport,Small airport,Gweta,Botswana,
FAHU,,H M S Bastard Memorial Airport,Small airport,H.M.S.Bastard Memorial,South Africa,
FAHK,,Haakdoornboom Airport,Small airport,Haakdoornboom,South Africa,
HL78,,Habit Awlad Muhammad Airport,Small airport,,Libya,
HTHY,,Haidom Airport,Small airport,Haidom,Tanzania,
FBHV,,Haina Ventures Airport,Small airport,Haina Kalahari Lodge,Botswana,
FYHI,HAL,Halali Airport,Small airport,Halali,Namibia,
FAHI,,Halfweg Airport,Small airport,Halfweg,South Africa,
DA11,,Hamaguir Airport,Small airport,,Algeria,
HAHM,QHR,Harar Meda Airport,Medium airport,Debre Zeyit,Ethiopia,
FAHJ,,Harding Airport,Small airport,Harding,South Africa,
FAHA,,Harmony Airport,Small airport,Virginia,South Africa,
FAHR,HRS,Harrismith Airport,Medium airport,Harrismith,South Africa,
FAHB,,Hartebeespoortdam Airport,Small airport,Hartebeespoort,South Africa,
GMML,EUN,Hassan I Airport,Medium airport,El Aaiún,Western Sahara,
DAFH,HRM,Hassi R'Mel Airport,Medium airport,Hassi R'Mel,Algeria,
GFHA,HGS,Hastings Airport,Small airport,Freetown,Sierra Leone,
HSHG,HEG,Heglig Airport,Small airport,Heglig Oilfield,Sudan,
FAHG,,Heidelburg Airport,Small airport,Heidelburg,South Africa,
FAHO,,Heilbron Airport,Small airport,Heilbron,South Africa,
FYHH,,Helmeringhausen Airport,Small airport,Helmeringhausen,Namibia,
FABO,,Hendrik Potgieter Airport,Small airport,Bothaville,South Africa,
FASX,,Hendrik Swellengrebel Airport,Small airport,Swellendam,South Africa,
FAPH,PHW,Hendrik Van Eck Airport,Medium airport,Phalaborwa,South Africa,
FAHF,,Henrys Flats Airport,Small airport,Henry'S Flats,South Africa,
HDHE,,Herkale Airport,Small airport,Herkale,Djibouti,
FAHH,,Hibberdene Airport,Small airport,Hibberdene,South Africa,
FVHY,,Hippo Valley Airport,Small airport,Chiredzi,Zimbabwe,
FAHL,HLW,Hluhluwe Airport,Small airport,Hluhluwe,South Africa,
FYHS,,Hobas Airport,Small airport,Hobas,Namibia,
FAHS,HDS,Hoedspruit Air Force Base Airport,Small airport,Hoedspruit,South Africa,
FAHT,,Hoedspruit Airport,Small airport,Hoedspruit,South Africa,
HKHO,HOA,Hola Airport,Small airport,Hola,Kenya,
HKHB,,Homa Bay Airport,Small airport,Homa Bay,Kenya,
FVHP,,Home Park Airport,Small airport,Home Park,Zimbabwe,
HLON,HUQ,Hon Airport,Small airport,,Libya,
FAHP,,Hoopstad Airport,Small airport,Hoopstad,South Africa,
FYWH,WDH,Hosea Kutako International Airport,Large airport,Windhoek,Namibia,
DAAG,ALG,Algiers Houari Boumediene Airport,Large airport,Algiers,Algeria,
DFOH,,Houndé Airport,Small airport,Houndé,Burkina Faso,
DFOH,,Hounde Airport,Small airport,Hounde,Burkina Faso,
FAHC,,Howick Airport,Small airport,Howick,South Africa,
FBHK,HUK,Hukuntsi Airport,Small airport,Hukuntsi,Botswana,
HE15,,Hulwan,Small airport,,Egypt,
FAHD,,Humansdorp Airport,Small airport,Humansdorp,South Africa,
HAHU,HUE,Humera Airport,Small airport,Humera,Ethiopia,
FBHU,,Hunda Airport,Small airport,Tubu Tree Camp,Botswana,
HEGN,HRG,Hurghada International Airport,Large airport,Hurghada,Egypt,
FVWT,WKI,Hwange (Town) Airport,Small airport,Hwange,Zimbabwe,
FVMC,,Hwange Main Camp Airfield,Small airport,,Zimbabwe,
FVWN,HWN,Hwange National Park Airport,Medium airport,Hwange,Zimbabwe,
DNIB,IBA,Ibadan Airport,Medium airport,Ibadan,Nigeria,
GMTT,TNG,Ibn Batouta Airport,Medium airport,Tangier,Morocco,
FQIB,IBO,Ibo Airport,Small airport,Ibo,Mozambique,
FMCN,YVA,Iconi Airport,Small airport,Moroni,Comoros,
FZCB,IDF,Idiofa Airport,Small airport,Idiofa,Congo (Kinshasa),
FZVU,,Idumbe Airport,Small airport,Idumbe,Congo (Kinshasa),
FAID,,Idutywa Airport,Small airport,Idutywa,South Africa,
DRZI,,Iferouane Airport,Small airport,Iferouane,Niger,
GMFI,,Ifrane Airport,Small airport,,Morocco,
FMSI,IHO,Ihosy Airport,Small airport,Ihosy,Madagascar,
FZGV,IKL,Ikela Airport,Small airport,Ikela,Congo (Kinshasa),
FZVS,PFR,Ilebo Airport,Small airport,Ilebo,Congo (Kinshasa),
DA10,,Illizi Airport,Small airport,,Algeria,
DAAP,VVZ,Illizi Takhamalt Airport,Medium airport,Illizi,Algeria,
DNIL,ILR,Ilorin International Airport,Medium airport,Ilorin,Nigeria,
FZFB,,Imesse Airport,Small airport,Imesse,Congo (Kinshasa),
FCOI,ION,Impfondo Airport,Small airport,Impfondo,Congo (Brazzaville),
FVIP,,Impinge Airport,Small airport,Impinge Ranch,Zimbabwe,
DAUZ,IAM,In Aménas Airport,Medium airport,Aménas,Algeria,
DATG,INF,In Guezzam Airport,Small airport,In Guezzam,Algeria,
DAUI,INZ,In Salah Airport,Medium airport,In Salah,Algeria,
FVIN,,Induna Airport,Small airport,Induna,Zimbabwe,
FAIW,,Indwe Airport,Small airport,Indwe,South Africa,
GMAA,,Inezgane Airport,Small airport,,Morocco,
FZAN,,Inga Airport,Small airport,Inga,Congo (Kinshasa),
FZEI,,Ingende Airport,Small airport,Ingende,Congo (Kinshasa),
FAIV,,Ingwavuma Airport,Small airport,Ingwavuma,South Africa,
FQIA,IHC,Inhaca Airport,Small airport,Inhaca,Mozambique,
FQIN,INH,Inhambane Airport,Medium airport,Inhambabe,Mozambique,
FZAS,,Inkisi Airport,Small airport,Inkisi,Congo (Kinshasa),
FZBA,INO,Inongo Airport,Small airport,Inongo,Congo (Kinshasa),
FYIA,,Intu Africa Pan Airport,Small airport,,Namibia,
FVYT,,Inyati Airport,Small airport,Inyati,Zimbabwe,
HTIY,,Inyonga Airport,Small airport,Inyonga,Tanzania,
FZBU,,Ipeke Airport,Small airport,Ipeke,Congo (Kinshasa),
HTIR,IRI,Iringa Airport,Medium airport,Nduli,Tanzania,
FCMI,,Irogo Airport,Small airport,Irogo,Congo (Brazzaville),
FZNI,,Ishasha Airport,Small airport,Ishasha,Congo (Kinshasa),
HKIS,,Isiolo Airport,Small airport,Isiolo,Kenya,
FAIS,,Isithebe Airport,Small airport,Nyoni,South Africa,
FLIK,,Isoka Airport,Small airport,Isoka,Zambia,
FZBH,,Isongo Airport,Small airport,Isongo,Congo (Kinshasa),
FVIT,,Itafa Airport,Small airport,Itafa,Zimbabwe,
FAIA,,Itala Airport,Small airport,Itala,South Africa,
FZCU,,Ito Airport,Small airport,Ito,Congo (Kinshasa),
HKIC,,Itona Ranch Airport,Small airport,Itona Ranch,Kenya,
FMMI,TNR,Ivato Airport,Large airport,Antananarivo,Madagascar,
FAOF,,Jack Duvenhage Airport,Small airport,Olifantshoek,South Africa,
FAJF,,Jagersfontain Airport,Small airport,Jagersfontain,South Africa,
DNJA,,Jalingo Airport,Small airport,Jalingo,Nigeria,
FAJV,,Jansenville Airport,Small airport,Jansenville,South Africa,
FBJA,,Jao Airport,Small airport,Jao Camp,Botswana,
FLJK,JEK,Jeki Airport,Small airport,Lower Zambezi Natational Park,Zambia,
DAAV,GJL,Jijel Ferhat Abbas Airport,Medium airport,Jijel,Algeria,
HAJM,JIM,Jimma Airport,Medium airport,Jimma,Ethiopia,
HUJI,JIN,Jinja Airport,Small airport,Jinja,Uganda,
HEGS,,Jiyanklis Air Base,Medium airport,Jiyanklis,Egypt,
FAKU,KMH,Johan Pienaar Airport,Medium airport,Kuruman,South Africa,
HKJK,NBO,Jomo Kenyatta International Airport,Large airport,Nairobi,Kenya,
FVJN,BUQ,Joshua Mqabuko Nkomo International Airport,Medium airport,Bulawayo,Zimbabwe,
FAJP,,Joubertina Airport,Small airport,Joubertina,South Africa,
HSSJ,JUB,Juba International Airport,Large airport,Juba,South Sudan,
HTDA,DAR,Julius Nyerere International Airport,Large airport,Dar es Salaam,Tanzania,
FBJW,JWA,Jwaneng Airport,Medium airport,Southern District,Botswana,
FAUT,UTT,K. D. Matanzima Airport,Medium airport,Mthatha,South Africa,
FBKA,,Kaa Airport,Small airport,Kaa,Botswana,
GFKB,KBA,Kabala Airport,Small airport,Kabala,Sierra Leone,
HUKB,,Kabale Airport,Small airport,,Uganda,
FZRM,KBO,Kabalo Airport,Small airport,Kabalo,Congo (Kinshasa),
FZRD,,Kabombo Airport,Small airport,Kabombo,Congo (Kinshasa),
FLPO,,Kabompo Airport,Small airport,Kabompo,Zambia,
HAKD,ABK,Kabri Dehar Airport,Small airport,Kabri Dehar,Ethiopia,
HSLI,KDX,Kadugli Airport,Small airport,Kadugli,Sudan,
DNKA,KAD,Kaduna Airport,Medium airport,Kaduna,Nigeria,
DN53,,Kaduna Old Airport,Small airport,,Nigeria,
GQNK,KED,Kaédi Airport,Small airport,Kaédi,Mauritania,
FKKH,KLE,Kaélé Airport,Small airport,Kaélé,Cameroon,
FEFQ,,Kaga-Bandoro Airport,Small airport,Kaga-Bandoro,Central African Republic,
FAKA,,Kagga Kamma Airport,Small airport,Kagga Kamma Private Game Reserve,South Africa,
HSKJ,,Kago Kaju Airport,Small airport,Kago Kaju,South Sudan,
FZCF,,Kahemba Airport,Small airport,Kahemba,Congo (Kinshasa),
FZOO,,Kailo Airport,Small airport,Kailo,Congo (Kinshasa),
FZCK,,Kajiji Airport,Small airport,Kajiji,Congo (Kinshasa),
HUKJ,,Kajjansi Airfield,Small airport,Kampala,Uganda,
FAKK,,Kakamas Airport,Small airport,Kakamas,South Africa,
HKKG,GGM,Kakamega Airport,Small airport,Kakamega,Kenya,
HUKK,,Kakira Airport,Small airport,Kakira,Uganda,
HKKM,,Kakuma Airport,Small airport,Kakuma,Kenya,
FZFL,,Kala Airport,Small airport,Kala,Congo (Kinshasa),
FLKL,KLB,Kalabo Airport,Small airport,Kalabo,Zambia,
FYKE,,Kalahari Game Lodge Airport,Small airport,,Namibia,
FZRF,FMI,Kalemie Airport,Medium airport,Tanganyika Province,Congo (Kinshasa),
FLKG,,Kalengwa Airport,Small airport,Kalengwa,Zambia,
FYKD,,Kalkfeld Airport,Small airport,Kalkfeld,Namibia,
HKFG,KLK,Kalokol Airport,Small airport,Kalokol,Kenya,
FLLO,,Kalomo Airport,Small airport,Kalomo,Zambia,
FZUV,,Kalonda Airport,Small airport,Kalonda,Congo (Kinshasa),
FYKJ,,Kamanjab Airport,Small airport,Kamanjab,Namibia,
FZQI,,Kamatanda Airport,Small airport,Kamatanda,Congo (Kinshasa),
HRZA,KME,Kamembe Airport,Medium airport,Kamembe,Rwanda,
FZSA,KMN,Kamina Base Airport,Medium airport,Kamina,Congo (Kinshasa),
FZOC,,Kamisuku Airport,Small airport,Kalima,Congo (Kinshasa),
FZPB,,Kamituga Airport,Small airport,Kamituga,Congo (Kinshasa),
FZOE,,Kampene Airport,Small airport,Kampene,Congo (Kinshasa),
FBKK,,Kanana Airport,Small airport,Kanana Camp,Botswana,
FZUA,KGA,Kananga Airport,Medium airport,Kananga,Congo (Kinshasa),
DBBK,KDC,Kandi Airport,Small airport,Kandi,Benin,
FZSE,,Kanene Airport,Small airport,Kanene,Congo (Kinshasa),
FBKG,,Kang Airport,Small airport,,Botswana,
FZTK,KNM,Kaniama Airport,Small airport,Kaniama,Congo (Kinshasa),
FZTS,,Kaniama Airport,Small airport,Kaniama,Congo (Kinshasa),
FLKJ,,Kanja Airport,Small airport,Kanja,Zambia,
GUXN,KNN,Kankan Airport,Small airport,Kankan,Guinea,
FZRK,,Kansimba Airport,Small airport,Kansimba,Congo (Kinshasa),
DFEL,XKA,Kantchari Airport,Small airport,Kantchari,Burkina Faso,
FLKU,,Kanyau Airport,Small airport,Kanyau,Zambia,
FBKY,,Kanye Airport,Small airport,Kanye,Botswana,
GOOK,KLC,Kaolack Airport,Medium airport,Kaolack,Senegal,
FLKO,KMZ,Kaoma Airport,Small airport,Kaoma,Zambia,
FZSK,KAP,Kapanga Airport,Small airport,Kapanga,Congo (Kinshasa),
HSKP,,Kapoeta Airport,Small airport,Kapoeta,South Sudan,
FYKB,KAS,Karasburg Airport,Small airport,Karasburg,Namibia,
FZFS,,Karawa Airport,Small airport,Karawa,Congo (Kinshasa),
FAKW,,Kareedouw Airport,Small airport,Kareedouw,South Africa,
FVKB,KAB,Kariba International Airport,Medium airport,Kariba,Zimbabwe,
FYKA,,Karibib Airport,Small airport,Karibib,Namibia,
FWKA,KGJ,Karonga Airport,Medium airport,Karonga,Malawi,
FLKY,ZKB,Kasaba Bay Airport,Small airport,Kasaba Bay,Zambia,
FZSJ,,Kasaji Airport,Small airport,Kasaji,Congo (Kinshasa),
FLKS,KAA,Kasama Airport,Small airport,Kasama,Zambia,
FBKE,BBK,Kasane Airport,Medium airport,Kasane,Botswana,
FLPA,,Kasempa Airport,Small airport,Kasempa,Zambia,
FZQG,KEC,Kasenga Airport,Small airport,Kasenga,Congo (Kinshasa),
HTKN,,Kasense Airport,Small airport,,Tanzania,
HUKS,KSE,Kasese Airport,Small airport,Kasese,Uganda,
FZOS,,Kasese Airport,Small airport,Kasese,Congo (Kinshasa),
FZWI,,Kashia Airport,Small airport,Kashia,Congo (Kinshasa),
FLKE,CGJ,Kasompe Airport,Medium airport,Chingola,Zambia,
FZUF,,Kasonga Airport,Small airport,Kasonga,Congo (Kinshasa),
FZOK,,Kasongo Airport,Small airport,Kasongo,Congo (Kinshasa),
HSKA,KSL,Kassala Airport,Medium airport,Kassala,Sudan,
HTKU,,Kasulu Airport,Small airport,Kasulu,Tanzania,
FWKG,KBQ,Kasungu Airport,Small airport,Kasungu,Malawi,
FZVG,,Katako'kombe Airport,Small airport,Katako'kombe,Congo (Kinshasa),
FZNB,,Katale Airport,Small airport,Katale,Congo (Kinshasa),
FZNK,,Katanda Rusthuru Airport,Small airport,Katanda Rusthuru,Congo (Kinshasa),
FZIK,,Katende Airport,Small airport,Katende,Congo (Kinshasa),
FLAT,,Katete Airport,Small airport,Katete,Zambia,
FYKM,MPA,Katima Mulilo Airport,Small airport,Mpacha,Namibia,
FXKA,,Katse Airport,Small airport,Katse,Lesotho,
FZUT,,Katubwe Airport,Small airport,Katubwe,Congo (Kinshasa),
FZQH,,Katwe Airport,Small airport,Katwe,Congo (Kinshasa),
FLKB,,Kawambwa Airport,Small airport,Kawambwa,Zambia,
GUKR,,Kawass Airport,Small airport,Port Kamsar,Guinea,
DFCA,XKY,Kaya Airport,Small airport,Kaya,Burkina Faso,
GA1A,,Kayes Airport,Small airport,,Mali,
GAKY,KYS,Kayes Airport,Medium airport,Kayes,Mali,
GAKM,,Ke-Macina Airport,Small airport,Ke-Macina,Mali,
GOTK,KGG,Kédougou Airport,Medium airport,Kédougou,Senegal,
HKKE,,Keekorok Airport,Small airport,Keekorok,Kenya,
FYKT,KMP,Keetmanshoop Airport,Medium airport,Keetmanshoop,Namibia,
FAKE,,Keimouth Airport,Small airport,Keimouth,South Africa,
HAKL,LFO,Kelafo East Airport,Small airport,Kelafo,Ethiopia,
FCMK,,Kele Kibangou Airport,Small airport,Kele Kibangou,Congo (Brazzaville),
FCOK,KEE,Kelle Airport,Small airport,Kelle,Congo (Brazzaville),
FEFK,,Kembé Airport,Small airport,Kembé,Central African Republic,
FZBG,,Kempa Airport,Small airport,Kempa,Congo (Kinshasa),
FZBV,,Kempile Airport,Small airport,Kempile,Congo (Kinshasa),
GFKE,KEN,Kenema Airport,Medium airport,Kenema,Sierra Leone,
FZCS,,Kenge Airport,Small airport,Kenge,Congo (Kinshasa),
FAKH,,Kenhardt Airport,Small airport,Kenhardt,South Africa,
GAKA,KNZ,Kenieba Airport,Small airport,Kenieba,Mali,
GMMY,NNA,Kenitra Air Base,Medium airport,Kenitra,Morocco,
FLKK,LUN,Kenneth Kaunda International Airport Lusaka,Large airport,Lusaka,Zambia,
FAKX,,Kenton on Sea Airport,Small airport,Kenton On Sea,South Africa,
FZJR,,Kere Kere Airport,Small airport,Kere Kere,Congo (Kinshasa),
HKKR,KEY,Kericho Airport,Small airport,Kericho,Kenya,
FVKZ,,Kezi Airport,Small airport,Kezi,Zimbabwe,
HSSS,KRT,Khartoum International Airport,Large airport,Khartoum,Sudan,
HSKG,GBU,Khashm El Girba Airport,Small airport,Khashm El Girba,Sudan,
FBKR,KHW,Khwai River Lodge Airport,Small airport,Khwai River Lodge,Botswana,
HKKB,,Kiambere Airport,Small airport,Kiambere,Kenya,
FZOF,,Kiapupe Airport,Small airport,Kiapupe,Congo (Kinshasa),
HTBB,,Kibambawe Airstrip,Small airport,Selous Game Reserve,Tanzania,
FCPG,,Kibangou Airport,Small airport,Kibangou,Congo (Brazzaville),
HTKB,,Kibondo Airport,Small airport,Kibondo,Tanzania,
GAKL,,Kidal Airport,Small airport,Kidal,Mali,
HUKD,,Kidepo Airport,Small airport,Kidepo Valley National Park,Uganda,
GQNF,KFA,Kiffa Airport,Small airport,Kiffa,Mauritania,
HRYR,KGL,Kigali International Airport,Large airport,Kigali,Rwanda,
HTKA,TKQ,Kigoma Airport,Small airport,Kigoma,Tanzania,
FZCW,,Kikongo Sur Wamba Airport,Small airport,Kikongo Sur Wamba,Congo (Kinshasa),
FZCA,KKW,Kikwit Airport,Medium airport,Kikwit,Congo (Kinshasa),
HKKL,ILU,Kilaguni Airport,Small airport,Kilaguni,Kenya,
HKRS,,Kilgoris Airport,Small airport,Kilgoris,Kenya,
HTKJ,JRO,Kilimanjaro International Airport,Medium airport,Arusha,Tanzania,
HTKT,,Kilimatinde Airport,Small airport,Kilimatinde,Tanzania,
FZKF,,Kilomines Airport,Small airport,Kilomines,Congo (Kinshasa),
HTKS,,Kilosa Airport,Small airport,Kilosa,Tanzania,
HTKI,KIY,Kilwa Masoko Airport,Small airport,Kilwa Masoko,Tanzania,
FZCX,,Kimafu Airport,Small airport,Kimafu,Congo (Kinshasa),
FZMP,,Kimano Ii Airport,Small airport,Kimano Ii,Congo (Kinshasa),
FZDB,,Kimbau Airport,Small airport,Kimbau,Congo (Kinshasa),
FAKM,KIM,Kimberley Airport,Medium airport,Kimberley,South Africa,
FZDU,,Kimpangu Airport,Small airport,Kimpangu,Congo (Kinshasa),
FZAE,,Kimpoko Airport,Small airport,Kimpoko,Congo (Kinshasa),
FCBK,KNJ,Kindamba Airport,Small airport,Kindamba,Congo (Brazzaville),
FZOA,KND,Kindu Airport,Medium airport,Kindu,Congo (Kinshasa),
FDSK,SHO,King Mswati III International Airport,Medium airport,Manzini,Swaziland,
FALE,DUR,King Shaka International Airport,Large airport,Durban,South Africa,
FBKP,,Kings Pool Airport,Small airport,Kings Pool,Botswana,
FZOD,KLY,Kinkungwa Airport,Small airport,Kalima,Congo (Kinshasa),
FZDK,,Kipata Katika Airport,Small airport,Kipata Katika,Congo (Kinshasa),
FVRI,,Kipling's Rukari Airstrip,Small airport,,Zimbabwe,
FZWF,,Kipushi Airport,Small airport,Kipushi,Congo (Kinshasa),
HTGR,GTZ,Kirawira B Aerodrome,Small airport,Grumeti Game Reserve,Tanzania,
FBKI,,Kiri Airport,Small airport,Kiri Camp,Botswana,
HTKL,,Kirondatal Airport,Small airport,Kirondatal,Tanzania,
HBBO,KRE,Kirundo Airport,Small airport,Kirundo,Burundi,
FZIA,,Kisangani Simisini Airport,Small airport,,Congo (Kinshasa),
FZQP,,Kisenge Airport,Small airport,Kisenge,Congo (Kinshasa),
FZWR,,Kisengwa Airport,Small airport,Kisengwa,Congo (Kinshasa),
HKKS,,Kisii Airport,Small airport,Kisii,Kenya,
HCMK,KMU,Kisimayu Airport,Medium airport,Lower Juba,Somalia,
HUKI,,Kisoro Airport,Small airport,Kisoro,Uganda,
GUKU,KSI,Kissidougou Airport,Small airport,Kissidougou,Guinea,
HKKI,KIS,Kisumu Airport,Medium airport,Kisumu,Kenya,
GAKT,,Kita Airport,Small airport,Kita,Mali,
HKKT,KTL,Kitale Airport,Medium airport,Kitale,Kenya,
HUKT,,Kitgum Airport,Small airport,Kitgum,Uganda,
FZAI,,Kitona Base Airport,Small airport,,Congo (Kinshasa),
FAKT,,Kitty Hawk Airport,Small airport,Boschkop,South Africa,
HKKU,,Kitui Airport,Small airport,Kitui,Kenya,
HTKC,,Klein's Camp Airport,Small airport,,Tanzania,
FAKZ,KLZ,Kleinsee Airport,Medium airport,Kleinsee,South Africa,
FZIG,,KM 95 CFL Airport,Small airport,KM 95 CFL,Congo (Kinshasa),
FAKI,,Kobb Inn Airport,Small airport,Kobb Inn,South Africa,
FZER,,Kodoro Airport,Small airport,Kodoro,Congo (Kinshasa),
FAKF,,Koffee Bay Airport,Small airport,Koffee Bay,South Africa,
FAKV,,Koffyfontein Min Airport,Small airport,Koffyfontein,South Africa,
FADM,,Kokstad Airport,Small airport,Kokstad,South Africa,
FXKB,,Kolberg Airport,Small airport,Kolberg,Lesotho,
GODK,KDA,Kolda North Airport,Small airport,Kolda,Senegal,
FZVC,,Kole Sur Lukenie Airport,Small airport,Kole Sur Lukenie,Congo (Kinshasa),
GAKN,,Kolokani Airport,Small airport,Kolokani,Mali,
DXKP,,Kolokope Airport,Small airport,Anié,Togo,
FZDL,,Kolokoso Airport,Small airport,Kolokoso,Congo (Kinshasa),
FZQM,KWZ,Kolwezi Airport,Medium airport,Kolwezi,Congo (Kinshasa),
FAKG,,Komati Power Station Airport,Small airport,Komati Power Station,South Africa,
FAKP,KOF,Komatipoort Airport,Small airport,Komatipoort,South Africa,
FAKO,,Komga Airport,Small airport,Komga,South Africa,
DFEC,,Komin-Yanga Airport,Small airport,Komin-Yanga,Burkina Faso,
FZAU,,Konde Airport,Small airport,Konde,Congo (Kinshasa),
HTKD,,Kondoa Airport,Small airport,Kondoa,Tanzania,
FZRQ,KOO,Kongolo Airport,Small airport,Kongolo,Congo (Kinshasa),
DFCG,,Kongoussi Airport,Small airport,Kongoussi,Burkina Faso,
HTKO,,Kongwa Airport,Small airport,Kongwa,Tanzania,
DIKO,HGO,Korhogo Airport,Medium airport,Korhogo,Côte d'Ivoire,
FAKB,,Kosibaai Airport,Small airport,Kosi Bay,South Africa,
HSKI,KST,Kosti Airport,Small airport,Kosti,Sudan,
